Timestamp	Oletko palkansaaja vai laskuttaja?	Ikä	Sukupuoli	Työkokemus	Montako vuotta olet tehnyt laskuttavaa työtä alalla?	Mitä palveluja tarjoat?	Tuntilaskutus (ALV 0%, euroina)	Vuosilaskutus (ALV 0%, euroina)	Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?	Mistä asiakkaat ovat?	Työpaikka	Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?	Millaisessa yrityksessä työskentelet	Työaika (jos työsuhteessa)	Rooli	Etänä vai lähityössä?	Kuukausipalkka (brutto, euroina)	Vuositulot (sis. bonukset, osingot yms, euroina)	Vapaa kuvaus kokonaiskompensaatiomallista	Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?	Vapaa sana	Ideoita ensi vuoden kyselyyn
26/09/2022 17:01:29	Palkansaaja	31-35 v	M	10								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Senior Software Developer	Pääosin tai kokonaan etätyö	5500	70000	Osakkeita pienehkö positio	Ei		
26/09/2022 17:02:54	Laskuttaja	31-35 v	Mies	8	1	Full stack	90	75000	Käytän välitysfirmoja	Suomesta												
26/09/2022 17:05:04	Palkansaaja	36-40 v	Mies	14									Tuotetalossa, jonka core-bisnes on softa	100%	Fullstack	Pääosin tai kokonaan etätyö	8000	100000	Optioita	Kyllä		
26/09/2022 17:05:24	Palkansaaja	31-35 v	Mies	6							Gofore	Turku	Konsulttitalossa	100%	Cloud specialist	Pääosin tai kokonaan etätyö	3500	43750		Ei		5/5 hyvää duunia 
26/09/2022 17:06:37	Palkansaaja	31-35 v		11								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%		Pääosin tai kokonaan etätyö	9400	135000	Palkka+osakkeet+bonus+optiot	Kyllä		
26/09/2022 17:07:08	Palkansaaja	36-40 v	Mies	5								Oulu	Konsulttitalossa	100%	Full-stack ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	5800	72500		Kyllä		
26/09/2022 17:08:16	Palkansaaja	26-30 v	Mies	9								Turku	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan etätyö	4300	54000		Ei		
26/09/2022 17:10:12	Palkansaaja	36-40 v	Mies	13							Vincit	Tampere	Konsulttitalossa	100%	Ohjelmistokehittäjä	Jotain siltä väliltä	5600	70000		Ei		
26/09/2022 17:11:52	Laskuttaja	31-35 v	Mies	7	4	Devausta ja projarointia	120	200000	Itse	Suomesta												
26/09/2022 17:14:05	Palkansaaja	41-45 v		22								Oulu	Konsulttitalossa	100%	Fullstack devaaja	Omasta tahdosta pääosin toimistolla	6400	83000		Kyllä		
26/09/2022 17:14:35	Palkansaaja	36-40 v	Mies	17									Konsulttitalossa	100%	Full-stack ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	5400	100000	Kuukausipalkka + laskutukseen perustuvat bonukset	Kyllä		
26/09/2022 17:15:16	Palkansaaja	36-40 v	Mies	15								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Staff Engineer	Pääosin tai kokonaan etätyö	6250	78125	Kokonaiskompensaatiosta noin kolmasosa optioita	Kyllä		
26/09/2022 17:20:24	Palkansaaja	36-40 v	Miesoletettu	3								Turku	Konsultointia ja omaa softaa	100%	Ohjelmistokehittäjä (full-stack)	Pääosin tai kokonaan etätyö	3100	39000		Ei		
26/09/2022 17:20:31	Palkansaaja	41-45 v	Mies	25							Wunderdog	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack ohjelmistokehittäjä	Pääosin tai kokonaan toimistolla	6600	90000		Kyllä		
26/09/2022 17:24:27	Palkansaaja	21-25 v	Mies	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack	Pääosin tai kokonaan etätyö	6000	75000	Optioita 0,3% firmasta	Kyllä		
26/09/2022 17:27:13	Palkansaaja	26-30 v	Mies	5							HSL Helsingin seudun liikenne	PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100%	Data-arkkitehti	Jotain siltä väliltä	4950	62000		Kyllä		
26/09/2022 17:31:41	Palkansaaja	41-45 v	Mies	18								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Principal Engineer / Team Lead	Jotain siltä väliltä	7100	96000		Kyllä		
26/09/2022 17:38:55	Palkansaaja	36-40 v	Mies	12								Etänä piilaaksoon	Tuotetalossa, jonka core-bisnes on softa	80%	Tutkimuspäällikkö	Pääosin tai kokonaan etätyö		160000	115000€ peruspalkka, 20000€ ylimääräinen eläke-etuus, 15000€ bonukset, optioiden arvo saattaa olla mitä tahansa väliltä 0-20000€	Kyllä		
26/09/2022 17:44:59	Palkansaaja	31-35 v	Nainen	10								Jyväskylä	Mainos/digitoimisto	100%	Team Lead	Pääosin tai kokonaan etätyö	4500	58000		Ei		
26/09/2022 17:49:13	Palkansaaja	36-40 v	Mies	12							Mavericks	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan etätyö	6800	85000		Kyllä		
26/09/2022 17:50:21	Palkansaaja	36-40 v	Mies	4								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan etätyö	5400	100000	Pohjapalkan lisäksi puolivuosittain maksettavat laskutusperusteiset bonukset/osingot.	Kyllä		
26/09/2022 17:53:40	Palkansaaja	51-55 v	Mies	14								PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100%	Devops Engineer	Pääosin tai kokonaan etätyö	5700	68400		Kyllä		
26/09/2022 18:08:23	Palkansaaja	31-35 v	Mies	7								Jyväskylä	Konsulttitalossa	100%	Backend developer	Pääosin tai kokonaan etätyö	4200	52500		Kyllä		
26/09/2022 18:12:13	Palkansaaja	31-35 v	Mies	7								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Senior full-stack developer	Pääosin tai kokonaan etätyö	4550					
26/09/2022 18:15:01	Palkansaaja	36-40 v	mies	14								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	80%	Full-stack devaaja	Pääosin tai kokonaan etätyö	5000	62000		Kyllä		
26/09/2022 18:15:24	Palkansaaja	26-30 v	Mies	5								Turku	Konsulttitalossa	100%	Arkkitehti	Pääosin tai kokonaan toimistolla	4750	50000		Kyllä		
26/09/2022 18:15:30	Palkansaaja	36-40 v	Mies	13							Fintech-firma	Toimisto Lontoossa, teen itse etänä	Tuotetalossa, jonka core-bisnes on softa	100%	Arkkitehti	Pääosin tai kokonaan etätyö		156000	Peruspalkka 50%, loput bonusta ja osakkeita	Kyllä	Laskutan palkan firmani kautta	Kiinnostaisi tietää mitä kautta ihmiset löysivät työnsä.
26/09/2022 18:20:35	Palkansaaja	31-35 v	Mies	7								Turku	Konsulttitalossa	100%	DevOps / SRE	Pääosin tai kokonaan toimistolla	5900	78000	Osinko + vuosibonus	Ei		
26/09/2022 18:27:28	Palkansaaja	31-35 v	Nainen	7							Valtion tutkimuslaitos	PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100%	Tutkija, projektipäällikkö	Pääosin tai kokonaan toimistolla	3900	49000		Ei	Vastasin kyselyyn ns. päätyönantajani mukaan. Omaani vastaavissa tehtävissä suhteellisen usein saatetaan kuitenkin keikkailla startupeissa tms. osa-aikaisesti päätyön lisäksi. Kahden työpaikan ujuttaminen vastauksiin ei onnistunut.	
26/09/2022 18:28:21	Palkansaaja	31-35 v	Mies	10								Tampere	Konsulttitalossa	100%	full-stack ohjelmistokehittäjä 	Pääosin tai kokonaan etätyö	7000	87500		Kyllä		
26/09/2022 18:29:28	Palkansaaja	36-40 v	Mies	14								Oulu		100%		Pääosin tai kokonaan etätyö	8500	115000	Kk-palkka + bonus	Kyllä		
26/09/2022 18:30:22	Palkansaaja	36-40 v	Mies	15								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	full-stack	Pääosin tai kokonaan etätyö	6200	95000		Kyllä		
26/09/2022 18:32:11	Palkansaaja	31-35 v	Mies	10							Futurice	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Lead developer	Jotain siltä väliltä	5150	67000		Ei		
26/09/2022 18:33:04	Palkansaaja	31-35 v	Mies	8							Mapbox	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Senior software engineer	Pääosin tai kokonaan etätyö	10000	125000	Iso kasa optioita, vestaantuu 1v 50%, loput tasaisesti 4v kuluessa. 	Kyllä		
26/09/2022 18:37:35	Palkansaaja	36-40 v	mies	12								Tampere	Konsulttitalossa	100%	full-stack developer	Pääosin tai kokonaan etätyö	6100	76250	Peruspalkka plus provisio, karkeasti sama kuin 50% laskutuksesta	Kyllä		
26/09/2022 18:40:52	Palkansaaja	31-35 v	Mies	6								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Software Engineer	Pääosin tai kokonaan etätyö	5360	74000		Kyllä		
26/09/2022 18:41:27	Laskuttaja	26-30 v	ÄiÄ	7	2	SWE / Cloud	84	135000	Käytän välitysfirmoja	Suomesta												
26/09/2022 18:41:30	Palkansaaja	36-40 v	Mies	23								PK-Seutu (Helsinki, Espoo, Vantaa)		100%	Järjestelmäarkkitehti	Jotain siltä väliltä	8443	108000	Listaamaton yhtiö, suunnilleen kerran vuodessa mahdollisuus ostaa pieniä eriä osakkeita normihintaan.	Kyllä		Ehkä voisi huomioida olennaiset semi-satunnaiset sivuduunit palkkaduunarin ja yrittäjän välimaastossa olevilla. 
26/09/2022 18:43:32	Palkansaaja	36-40 v	Mies	8								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	80%	Full-stack	Jotain siltä väliltä	7500	93750		Kyllä		
26/09/2022 18:50:45	Palkansaaja	36-40 v	Mies	17								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Arkkitehti	Pääosin tai kokonaan etätyö	9500	125000	Peruspalkka ja osakkeita	Kyllä		
26/09/2022 18:54:57	Palkansaaja	> 55 v	Mies	28								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	Ohjelmoija	Pääosin tai kokonaan etätyö	6300	70000		Ei		
26/09/2022 18:55:22	Palkansaaja	36-40 v	M	15								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	Tiiminvetäjä	Pääosin tai kokonaan etätyö	6300	75600		Kyllä		
26/09/2022 19:06:55	Palkansaaja	41-45 v	Mies	16								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmistokehittäjä (backend)	Pääosin tai kokonaan toimistolla	6747	133000	KK-palkka + RSU (sekä refresher joka vuosi)	Kyllä		
26/09/2022 19:06:56	Palkansaaja	41-45 v	M	25								Ulkomailla	Tuotetalossa, jonka core-bisnes on softa	100%	Jonkinmoinen johtaja	Jotain siltä väliltä	22500	350000	Lisäksi firman osakkeita n. 800k€ vuodessa.	Kyllä		
26/09/2022 19:07:00	Palkansaaja	26-30 v	Mies	8							Hoxhunt	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack -ohjelmistokehittäjä	Pääosin tai kokonaan toimistolla	6125	76000	Optiot	Kyllä		
26/09/2022 19:08:10	Palkansaaja	41-45 v	Mies	22								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Lead Engineer	Pääosin tai kokonaan etätyö	7000	95000	Palkka+vuosibonus+optiot	Kyllä		
26/09/2022 19:09:15	Palkansaaja	21-25 v	Nainen	3								Tampere	Konsulttitalossa	60%	Fullstack Developer	Jotain siltä väliltä	1660	23200		Ei		
26/09/2022 19:10:45	Palkansaaja	36-40 v		15								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	DevOps konsultti	Pääosin tai kokonaan etätyö	6200	77500		Kyllä		
26/09/2022 19:15:24	Palkansaaja	41-45 v	Mies	19								Tampere	Konsulttitalossa	100%	Arkkitehti	Jotain siltä väliltä	6300	78750		Kyllä		
26/09/2022 19:19:54	Palkansaaja	26-30 v	Mies	7								Jyväskylä	Tuotetalossa, jonka core-bisnes on softa	100%	Lead Developer (Full-stack)	Pääosin tai kokonaan etätyö	4600	57500		Ei		
26/09/2022 19:20:22	Laskuttaja	31-35 v	Mies	10	1	Full stack devausta	80	125000	Itse, Käytän välitysfirmoja	Suomesta												
26/09/2022 19:21:08	Palkansaaja	51-55 v	mies	23							Kaupungin tytäryhtiö	PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100%	ohjelmistokehittäjä, full-stack	Jotain siltä väliltä	4780	62700	Palkan päälle lounassetelit verotusarvolla, virkistysseteli 400€	Ei	Kunta TES == 38 kokonaista päivää vuodessa, työaika 7h15min/päivä	Luontaisedut, autoedun arvo yms. voisi olla mukana kyselyssä
26/09/2022 19:23:15	Palkansaaja	36-40 v	mies	10							Media-ala	PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	web developer	Pääosin tai kokonaan etätyö	4500	58000		Kyllä		
26/09/2022 19:24:16	Palkansaaja	36-40 v	mies	12								Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	80%	full-stack	Pääosin tai kokonaan toimistolla	4560	54720		Kyllä		
26/09/2022 19:29:25	Palkansaaja	31-35 v	Mies	6							Swappie	PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Senior Software Engineer	Pääosin tai kokonaan etätyö	5246	65575	Perus 4 vuoden optio-ohjelma 1 vuoden cliffillä, ja ylennyksien myötä lisää.	Kyllä		
26/09/2022 19:32:37	Palkansaaja	26-30 v	Nainen	6							BeeHealthy	Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Full-stack	Pääosin tai kokonaan etätyö	5000	60000				
26/09/2022 19:33:51	Palkansaaja	21-25 v	muu	2								Tampere	Konsulttitalossa ops-puolella 	50%	Systems Specialist, suomeksi ops eli alustapystytystä, ylläpitoa, pilveä, konesalia	Pääosin tai kokonaan toimistolla	3050	40000		Ei	Olen tosiaan poikkeus siinä, että kirjoitan koodia töissä erittäin harvoin. Välillä jotain devops-tyylistä tulee harrastettu, mutta toistaiseksi harvemmin.	
26/09/2022 19:40:47	Palkansaaja	26-30 v	Mies	2									Konsulttitalossa	100%	Senior Data Engineer	Pääosin tai kokonaan etätyö	4200	52500		Kyllä		
26/09/2022 19:40:53	Palkansaaja	41-45 v	Mies	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Frontend developer	Pääosin tai kokonaan etätyö	4800	60000		Kyllä		
26/09/2022 19:41:54	Palkansaaja	41-45 v	en tiedä, naisen hetu	17								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	lead test engineer	kerran kuussa toimistolla firman piikkiin	5500	68750		Kyllä		
26/09/2022 19:42:27	Palkansaaja	31-35 v	Mies	8								Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Lead developer	Pääosin tai kokonaan toimistolla	5500	72000	Palkka + bonus 5-10%	Kyllä		
26/09/2022 19:43:02	Laskuttaja	26-30 v	Mies	8	0	Full stack	65	104000	Käytän välitysfirmoja	Suomesta												
26/09/2022 19:43:07	Palkansaaja	36-40 v	Mies	11								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Backend Engineer	Jotain siltä väliltä	6170	130000	Kuukausipalkka + RSU	Kyllä		
26/09/2022 19:46:52	Palkansaaja	36-40 v	Mies	10							Sysart Oy	Oulu	Konsulttitalossa	100%	Full-stack	Pääosin tai kokonaan etätyö	6200	77500		Kyllä		
26/09/2022 19:50:03	Palkansaaja	36-40 v	Mies	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	80%	full-stack	Pääosin tai kokonaan etätyö	4600	60000	peruspalkka+bonukset (~kuukauden palkka), optioita (jotka muutaman kerran realisoituneet rahaksi asti, parin vuoden palkka extraa)	Kyllä	Koodarikokemus on ~1-vuosi mitä paikkaa sitten pidempi kokemus yrityksestä, alasta ja tuotteesta. Optioiden muuntuminen rahaksi on ollut isoin yllätys omassa kompensaatiossa.	
26/09/2022 19:54:20	Palkansaaja	36-40 v		13								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Full Stack Developer	Jotain siltä väliltä	9700	13000		Kyllä		
26/09/2022 19:55:23	Laskuttaja	26-30 v	Mies	6	5	Full Stack softadevausta, arkkitehtuuria, sparrausta, ympäristöjen tunkkausta	80	130000	Itse, Käytän välitysfirmoja	Suomesta												
26/09/2022 20:10:17	Laskuttaja	36-40 v	Mies	14	1	Full stack, Azure-kehitys	90		Käytän välitysfirmoja	Suomesta												
26/09/2022 20:21:12	Palkansaaja	36-40 v	Mies	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Softakehittäjä, full stack	Pääosin tai kokonaan etätyö	4228	53000	Optiopaketti on	Ei		
26/09/2022 20:25:52	Palkansaaja	21-25 v	Mies	3							Series B Startup	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Software engineer, Full-stack	Pääosin tai kokonaan etätyö	13333	160000	Vähän optioita päälle	Kyllä	Ulkomainen firma jolle teen etänä Suomesta	
26/09/2022 20:32:15	Palkansaaja	41-45 v	mies	17									Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	arkkitehti	Pääosin tai kokonaan etätyö	7150	89375		Kyllä		
26/09/2022 20:35:49	Laskuttaja	26-30 v	Mies	1	1	Full stack, enimmäkseen frontend	70		Itse, Käytän välitysfirmoja	Suomesta												
26/09/2022 20:43:54	Palkansaaja	36-40 v	Mies	16								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack -kehittäjä	Pääosin tai kokonaan etätyö	7080	85000		Kyllä		
26/09/2022 20:46:44	Palkansaaja	31-35 v	Mies	12							Verkkokauppa.com Oyj	PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	Ohjelmistokehittäjä	Omasta valinnasta 99% toimistolla	4600	60000	Kiinteä kuukausipalkka, etuja kuten lounas, firman tuotteet sisäänostohintaan, satunnaisia rahabonuksia	Ei	Etä vs. toimistossa hieman oudosti sanoitettu, että jos on ainoastaan etänä tai toimistolla niin firma silloin on määrännyt kyseisen tavan toimia, eikä niin että omasta valinnasta on joko pääosin etänä tai toimistolla, vaikka firman policy olisi vaikka "päätä ite miten lystäät" tms.	
26/09/2022 20:49:27	Laskuttaja	41-45 v	Mies	20	0.5	Full stack ja devops kehitystä, menetelmäkonsultointia, kehittäjäpalkkausta ja tiimin auttelua.	99	124000	Itse	Suomesta, Ulkomailta												
26/09/2022 20:56:37	Palkansaaja	36-40 v	Mies	4								EU	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	5200	71000		Kyllä		
26/09/2022 21:04:04	Palkansaaja	41-45 v	mies	23								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	arkkitehti	Pääosin tai kokonaan etätyö	6000	86000		Kyllä		
26/09/2022 21:10:18	Palkansaaja	31-35 v	Mies	10							Brella	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Senior Frontend Developer	Pääosin tai kokonaan etätyö	6120	76500	Optioita on	Kyllä		
26/09/2022 21:12:26	Palkansaaja	31-35 v	Mies	12							UpCloud Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	80%	Arkkitehti	Pääosin tai kokonaan etätyö	6760	84500	Kuukausipalkka	Kyllä		
26/09/2022 21:13:19	Laskuttaja	41-45 v	mies	20	5	fullstack koodaus	98	144000	Käytän välitysfirmoja	Suomesta												
26/09/2022 21:13:22	Palkansaaja	31-35 v	Mies	12								Tampere	Tuotetalossa, jonka core-bisnes on softa	100%	Full-stack	Pääosin tai kokonaan etätyö	6000	75000		Kyllä		
26/09/2022 21:19:23	Palkansaaja	26-30 v	Mies	8							Polar Squad Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	DevOps-konsultti	Jotain siltä väliltä	5330	66875	Osingot henkilöstöannin osakkeista	Kyllä	Palkka kilpailukykyinen lähinnä siinä mielessä, ettei sidottu laskutukseen. Muualla voisi saada paljonkin enemmän, mutta arvostan kuukausipalkkauksen mallia enemmän kulttuurillisten hyötyjen takia.	
26/09/2022 21:23:17	Palkansaaja	41-45 v	M	22								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	Ohjelmistokehittäjä	Pääosin tai kokonaan etätyö	6400	85000		Kyllä		
26/09/2022 21:34:56	Palkansaaja	21-25 v	Mies	6								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100%	full-stack	Jotain siltä väliltä	4350	55000	Euroina tilille, optiot teoriassa ~400€/kk lisää	Kyllä		
26/09/2022 21:35:45	Palkansaaja	26-30 v	Mies	6								Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100%	arkkitehti	Pääosin tai kokonaan toimistolla	5500	70000		Kyllä		
26/09/2022 21:39:09	Palkansaaja	26-30 v	Mies	8							Crowd Collective	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100%	full-stack	Jotain siltä väliltä	6000	75000		Kyllä		Olisi voinut erotella onko kyse kiinteästä vai laskutukseen perustuvasta kuukausipalkasta.
