Timestamp,Oletko palkansaaja vai laskuttaja?,Ikä,Sukupuoli,Työkokemus,Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Palvelut,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Kaupunki,Millaisessa yrityksessä työskentelet,Työaika,Rooli,Etä- vai lähityö,Kuukausipalkka,Vuositulot,Vapaa kuvaus kokonaiskompensaatiomallista,Kilpailukykyinen,Vapaa sana,Ideoita ensi vuoden kyselyyn,Etä,Kk-tulot
2022-09-26 16:46:31.420,Palkansaaja,36-40 v,,1.0,,,,,,,,Turku,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Software-engineer,Pääosin tai kokonaan toimistolla,3500.0,45000.0,,True,,,Toimisto,3750.0
2022-09-26 16:46:53.785,Palkansaaja,26-30 v,nainen,8.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Lead Developer,Jotain siltä väliltä,5500.0,68750.0,osakkeita,False,,,50/50,5729.166666666667
2022-09-26 16:48:57.486,Laskuttaja,36-40 v,mies,14.0,1.0,Full-stack developer ja arkkitehti,95.0,150000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,,,
2022-09-26 16:49:55.054,Palkansaaja,31-35 v,mies,0.0,,,,,,,Talenom,Oulu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Ohjelmistokehittäjä,Pääosin tai kokonaan toimistolla,2600.0,32500.0,,True,,,Toimisto,2708.3333333333335
2022-09-26 16:51:48.157,Palkansaaja,36-40 v,mies,12.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full-stack / Arkkitehti,Pääosin tai kokonaan etätyö,5000.0,62500.0,Nolla,False,,,Etä,5208.333333333333
2022-09-26 16:52:42.206,Palkansaaja,26-30 v,mies,7.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full-stack fronttipainotuksella,Pääosin tai kokonaan toimistolla,5100.0,63750.0,Lisäksi henkilöstöannin kautta osakkeita käytännössä verojen hinnalla (startup) - vaikea arvioida määrää,True,,,Toimisto,5312.5
2022-09-26 16:56:41.270,Palkansaaja,26-30 v,mies,8.0,,,,,,,,Turku,Konsulttitalossa,1.0,Ohjelmistokehittäjä,Jotain siltä väliltä,4150.0,56500.0,,,,,50/50,4708.333333333333
2022-09-26 17:01:29.332,Palkansaaja,31-35 v,mies,10.0,,,,,,,,PK-Seutu,Konsulttitalossa,1.0,Senior Software Developer,Pääosin tai kokonaan etätyö,5500.0,70000.0,Osakkeita pienehkö positio,False,,,Etä,5833.333333333333
2022-09-26 17:02:54.204,Laskuttaja,31-35 v,mies,8.0,1.0,Full stack,90.0,75000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,,,
2022-09-26 17:05:04.455,Palkansaaja,36-40 v,mies,14.0,,,,,,,,,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full-stack,Pääosin tai kokonaan etätyö,8000.0,100000.0,Optioita,True,,,Etä,8333.333333333334
2022-09-26 17:05:23.658,Palkansaaja,31-35 v,mies,6.0,,,,,,,Gofore,Turku,Konsulttitalossa,1.0,Cloud specialist,Pääosin tai kokonaan etätyö,3500.0,43750.0,,False,,5/5 hyvää duunia ,Etä,3645.8333333333335
2022-09-26 17:06:36.680,Palkansaaja,31-35 v,,11.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,,Pääosin tai kokonaan etätyö,9400.0,135000.0,Palkka+osakkeet+bonus+optiot,True,,,Etä,11250.0
2022-09-26 17:07:08.360,Palkansaaja,36-40 v,mies,5.0,,,,,,,,Oulu,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,5800.0,72500.0,,True,,,Etä,6041.666666666667
2022-09-26 17:08:15.564,Palkansaaja,26-30 v,mies,9.0,,,,,,,,Turku,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,4300.0,54000.0,,False,,,Etä,4500.0
2022-09-26 17:10:11.700,Palkansaaja,36-40 v,mies,13.0,,,,,,,Vincit,Tampere,Konsulttitalossa,1.0,Ohjelmistokehittäjä,Jotain siltä väliltä,5600.0,70000.0,,False,,,50/50,5833.333333333333
2022-09-26 17:11:51.896,Laskuttaja,31-35 v,mies,7.0,4.0,Devausta ja projarointia,120.0,200000.0,Itse,Suomesta,,,,,,,,,,,,,,
2022-09-26 17:14:05.098,Palkansaaja,41-45 v,,22.0,,,,,,,,Oulu,Konsulttitalossa,1.0,Fullstack devaaja,Omasta tahdosta pääosin toimistolla,6400.0,83000.0,,True,,,,6916.666666666667
2022-09-26 17:14:35.479,Palkansaaja,36-40 v,mies,17.0,,,,,,,,,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,5400.0,100000.0,Kuukausipalkka + laskutukseen perustuvat bonukset,True,,,Etä,8333.333333333334
2022-09-26 17:15:16.066,Palkansaaja,36-40 v,mies,15.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Staff Engineer,Pääosin tai kokonaan etätyö,6250.0,78125.0,Kokonaiskompensaatiosta noin kolmasosa optioita,True,,,Etä,6510.416666666667
2022-09-26 17:20:24.004,Palkansaaja,36-40 v,mies,3.0,,,,,,,,Turku,Konsultointia ja omaa softaa,1.0,Full-stack,Pääosin tai kokonaan etätyö,3100.0,39000.0,,False,,,Etä,3250.0
2022-09-26 17:20:31.409,Palkansaaja,41-45 v,mies,25.0,,,,,,,Wunderdog,PK-Seutu,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan toimistolla,6600.0,90000.0,,True,,,Toimisto,7500.0
2022-09-26 17:24:26.937,Palkansaaja,21-25 v,mies,5.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full-stack,Pääosin tai kokonaan etätyö,6000.0,75000.0,"Optioita 0,3% firmasta",True,,,Etä,6250.0
2022-09-26 17:27:13.432,Palkansaaja,26-30 v,mies,5.0,,,,,,,HSL Helsingin seudun liikenne,PK-Seutu,Julkinen tai kolmas sektori,1.0,Data-arkkitehti,Jotain siltä väliltä,4950.0,62000.0,,True,,,50/50,5166.666666666667
2022-09-26 17:31:41.108,Palkansaaja,41-45 v,mies,18.0,,,,,,,,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Principal Engineer / Team Lead,Jotain siltä väliltä,7100.0,96000.0,,True,,,50/50,8000.0
2022-09-26 17:38:54.852,Palkansaaja,36-40 v,mies,12.0,,,,,,,,Etänä piilaaksoon,"Tuotetalossa, jonka core-bisnes on softa",0.8,Tutkimuspäällikkö,Pääosin tai kokonaan etätyö,,160000.0,"115000€ peruspalkka, 20000€ ylimääräinen eläke-etuus, 15000€ bonukset, optioiden arvo saattaa olla mitä tahansa väliltä 0-20000€",True,,,Etä,13333.333333333334
2022-09-26 17:44:58.898,Palkansaaja,31-35 v,nainen,10.0,,,,,,,,Jyväskylä,Mainos/digitoimisto,1.0,Team Lead,Pääosin tai kokonaan etätyö,4500.0,58000.0,,False,,,Etä,4833.333333333333
2022-09-26 17:49:12.867,Palkansaaja,36-40 v,mies,12.0,,,,,,,Mavericks,PK-Seutu,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,6800.0,85000.0,,True,,,Etä,7083.333333333333
2022-09-26 17:50:20.886,Palkansaaja,36-40 v,mies,4.0,,,,,,,,PK-Seutu,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,5400.0,100000.0,Pohjapalkan lisäksi puolivuosittain maksettavat laskutusperusteiset bonukset/osingot.,True,,,Etä,8333.333333333334
2022-09-26 17:53:39.799,Palkansaaja,51-55 v,mies,14.0,,,,,,,,PK-Seutu,Julkinen tai kolmas sektori,1.0,Devops Engineer,Pääosin tai kokonaan etätyö,5700.0,68400.0,,True,,,Etä,5700.0
2022-09-26 18:08:23.149,Palkansaaja,31-35 v,mies,7.0,,,,,,,,Jyväskylä,Konsulttitalossa,1.0,Backend developer,Pääosin tai kokonaan etätyö,4200.0,52500.0,,True,,,Etä,4375.0
2022-09-26 18:12:13.417,Palkansaaja,31-35 v,mies,7.0,,,,,,,,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Senior full-stack developer,Pääosin tai kokonaan etätyö,4550.0,,,,,,Etä,
2022-09-26 18:15:00.726,Palkansaaja,36-40 v,mies,14.0,,,,,,,,PK-Seutu,Konsulttitalossa,0.8,Full-stack devaaja,Pääosin tai kokonaan etätyö,5000.0,62000.0,,True,,,Etä,5166.666666666667
2022-09-26 18:15:24.475,Palkansaaja,26-30 v,mies,5.0,,,,,,,,Turku,Konsulttitalossa,1.0,Arkkitehti,Pääosin tai kokonaan toimistolla,4750.0,50000.0,,True,,,Toimisto,4166.666666666667
2022-09-26 18:15:29.686,Palkansaaja,36-40 v,mies,13.0,,,,,,,Fintech-firma,"Toimisto Lontoossa, teen itse etänä","Tuotetalossa, jonka core-bisnes on softa",1.0,Arkkitehti,Pääosin tai kokonaan etätyö,,156000.0,"Peruspalkka 50%, loput bonusta ja osakkeita",True,Laskutan palkan firmani kautta,Kiinnostaisi tietää mitä kautta ihmiset löysivät työnsä.,Etä,13000.0
2022-09-26 18:20:34.554,Palkansaaja,31-35 v,mies,7.0,,,,,,,,Turku,Konsulttitalossa,1.0,DevOps / SRE,Pääosin tai kokonaan toimistolla,5900.0,78000.0,Osinko + vuosibonus,False,,,Toimisto,6500.0
2022-09-26 18:27:28.023,Palkansaaja,31-35 v,nainen,7.0,,,,,,,Valtion tutkimuslaitos,PK-Seutu,Julkinen tai kolmas sektori,1.0,"Tutkija, projektipäällikkö",Pääosin tai kokonaan toimistolla,3900.0,49000.0,,False,Vastasin kyselyyn ns. päätyönantajani mukaan. Omaani vastaavissa tehtävissä suhteellisen usein saatetaan kuitenkin keikkailla startupeissa tms. osa-aikaisesti päätyön lisäksi. Kahden työpaikan ujuttaminen vastauksiin ei onnistunut.,,Toimisto,4083.3333333333335
2022-09-26 18:28:20.520,Palkansaaja,31-35 v,mies,10.0,,,,,,,,Tampere,Konsulttitalossa,1.0,Full-stack ohjelmistokehittäjä ,Pääosin tai kokonaan etätyö,7000.0,87500.0,,True,,,Etä,7291.666666666667
2022-09-26 18:29:28.370,Palkansaaja,36-40 v,mies,14.0,,,,,,,,Oulu,,1.0,,Pääosin tai kokonaan etätyö,8500.0,115000.0,Kk-palkka + bonus,True,,,Etä,9583.333333333334
2022-09-26 18:30:21.912,Palkansaaja,36-40 v,mies,15.0,,,,,,,,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Full-stack,Pääosin tai kokonaan etätyö,6200.0,95000.0,,True,,,Etä,7916.666666666667
2022-09-26 18:32:11.471,Palkansaaja,31-35 v,mies,10.0,,,,,,,Futurice,PK-Seutu,Konsulttitalossa,1.0,Lead developer,Jotain siltä väliltä,5150.0,67000.0,,False,,,50/50,5583.333333333333
2022-09-26 18:33:03.531,Palkansaaja,31-35 v,mies,8.0,,,,,,,Mapbox,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Senior software engineer,Pääosin tai kokonaan etätyö,10000.0,125000.0,"Iso kasa optioita, vestaantuu 1v 50%, loput tasaisesti 4v kuluessa. ",True,,,Etä,10416.666666666666
2022-09-26 18:37:34.721,Palkansaaja,36-40 v,mies,12.0,,,,,,,,Tampere,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,6100.0,76250.0,"Peruspalkka plus provisio, karkeasti sama kuin 50% laskutuksesta",True,,,Etä,6354.166666666667
2022-09-26 18:40:51.942,Palkansaaja,31-35 v,mies,6.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Software Engineer,Pääosin tai kokonaan etätyö,5360.0,74000.0,,True,,,Etä,6166.666666666667
2022-09-26 18:41:26.974,Laskuttaja,26-30 v,mies,7.0,2.0,SWE / Cloud,84.0,135000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,,,
2022-09-26 18:41:29.748,Palkansaaja,36-40 v,mies,23.0,,,,,,,,PK-Seutu,,1.0,Järjestelmäarkkitehti,Jotain siltä väliltä,8443.0,108000.0,"Listaamaton yhtiö, suunnilleen kerran vuodessa mahdollisuus ostaa pieniä eriä osakkeita normihintaan.",True,,Ehkä voisi huomioida olennaiset semi-satunnaiset sivuduunit palkkaduunarin ja yrittäjän välimaastossa olevilla. ,50/50,9000.0
2022-09-26 18:43:31.530,Palkansaaja,36-40 v,mies,8.0,,,,,,,,PK-Seutu,Konsulttitalossa,0.8,Full-stack,Jotain siltä väliltä,7500.0,93750.0,,True,,,50/50,7812.5
2022-09-26 18:50:45.419,Palkansaaja,36-40 v,mies,17.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Arkkitehti,Pääosin tai kokonaan etätyö,9500.0,125000.0,Peruspalkka ja osakkeita,True,,,Etä,10416.666666666666
2022-09-26 18:54:56.853,Palkansaaja,> 55 v,mies,28.0,,,,,,,,PK-Seutu,Konsulttitalossa,1.0,Ohjelmoija,Pääosin tai kokonaan etätyö,6300.0,70000.0,,False,,,Etä,5833.333333333333
2022-09-26 18:55:21.753,Palkansaaja,36-40 v,mies,15.0,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,Tiiminvetäjä,Pääosin tai kokonaan etätyö,6300.0,75600.0,,True,,,Etä,6300.0
2022-09-26 19:06:54.878,Palkansaaja,41-45 v,mies,16.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Ohjelmistokehittäjä (backend),Pääosin tai kokonaan toimistolla,6747.0,133000.0,KK-palkka + RSU (sekä refresher joka vuosi),True,,,Toimisto,11083.333333333334
2022-09-26 19:06:56.270,Palkansaaja,41-45 v,mies,25.0,,,,,,,,Ulkomailla,"Tuotetalossa, jonka core-bisnes on softa",1.0,Jonkinmoinen johtaja,Jotain siltä väliltä,22500.0,350000.0,Lisäksi firman osakkeita n. 800k€ vuodessa.,True,,,50/50,29166.666666666668
2022-09-26 19:06:59.587,Palkansaaja,26-30 v,mies,8.0,,,,,,,Hoxhunt,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full-stack -ohjelmistokehittäjä,Pääosin tai kokonaan toimistolla,6125.0,76000.0,Optiot,True,,,Toimisto,6333.333333333333
2022-09-26 19:08:09.755,Palkansaaja,41-45 v,mies,22.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Lead Engineer,Pääosin tai kokonaan etätyö,7000.0,95000.0,Palkka+vuosibonus+optiot,True,,,Etä,7916.666666666667
2022-09-26 19:09:15.195,Palkansaaja,21-25 v,nainen,3.0,,,,,,,,Tampere,Konsulttitalossa,0.6,Fullstack Developer,Jotain siltä väliltä,1660.0,23200.0,,False,,,50/50,1933.3333333333333
2022-09-26 19:10:45.492,Palkansaaja,36-40 v,,15.0,,,,,,,,PK-Seutu,Konsulttitalossa,1.0,DevOps konsultti,Pääosin tai kokonaan etätyö,6200.0,77500.0,,True,,,Etä,6458.333333333333
2022-09-26 19:15:23.612,Palkansaaja,41-45 v,mies,19.0,,,,,,,,Tampere,Konsulttitalossa,1.0,Arkkitehti,Jotain siltä väliltä,6300.0,78750.0,,True,,,50/50,6562.5
2022-09-26 19:19:53.869,Palkansaaja,26-30 v,mies,7.0,,,,,,,,Jyväskylä,"Tuotetalossa, jonka core-bisnes on softa",1.0,Lead Developer (Full-stack),Pääosin tai kokonaan etätyö,4600.0,57500.0,,False,,,Etä,4791.666666666667
2022-09-26 19:20:21.798,Laskuttaja,31-35 v,mies,10.0,1.0,Full stack devausta,80.0,125000.0,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,,,,,
2022-09-26 19:21:08.092,Palkansaaja,51-55 v,mies,23.0,,,,,,,Kaupungin tytäryhtiö,PK-Seutu,Julkinen tai kolmas sektori,1.0,Full-stack,Jotain siltä väliltä,4780.0,62700.0,"Palkan päälle lounassetelit verotusarvolla, virkistysseteli 400€",False,"Kunta TES == 38 kokonaista päivää vuodessa, työaika 7h15min/päivä","Luontaisedut, autoedun arvo yms. voisi olla mukana kyselyssä",50/50,5225.0
2022-09-26 19:23:14.921,Palkansaaja,36-40 v,mies,10.0,,,,,,,Media-ala,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Web developer,Pääosin tai kokonaan etätyö,4500.0,58000.0,,True,,,Etä,4833.333333333333
2022-09-26 19:24:16.005,Palkansaaja,36-40 v,mies,12.0,,,,,,,,Tampere,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",0.8,Full-stack,Pääosin tai kokonaan toimistolla,4560.0,54720.0,,True,,,Toimisto,4560.0
2022-09-26 19:29:25.283,Palkansaaja,31-35 v,mies,6.0,,,,,,,Swappie,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Senior Software Engineer,Pääosin tai kokonaan etätyö,5246.0,65575.0,"Perus 4 vuoden optio-ohjelma 1 vuoden cliffillä, ja ylennyksien myötä lisää.",True,,,Etä,5464.583333333333
2022-09-26 19:32:37.055,Palkansaaja,26-30 v,nainen,6.0,,,,,,,BeeHealthy,Tampere,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Full-stack,Pääosin tai kokonaan etätyö,5000.0,60000.0,,,,,Etä,5000.0
2022-09-26 19:33:50.546,Palkansaaja,21-25 v,muu,2.0,,,,,,,,Tampere,Konsulttitalossa ops-puolella ,0.5,"Systems Specialist, suomeksi ops eli alustapystytystä, ylläpitoa, pilveä, konesalia",Pääosin tai kokonaan toimistolla,3050.0,40000.0,,False,"Olen tosiaan poikkeus siinä, että kirjoitan koodia töissä erittäin harvoin. Välillä jotain devops-tyylistä tulee harrastettu, mutta toistaiseksi harvemmin.",,Toimisto,3333.3333333333335
2022-09-26 19:40:46.538,Palkansaaja,26-30 v,mies,2.0,,,,,,,,,Konsulttitalossa,1.0,Senior Data Engineer,Pääosin tai kokonaan etätyö,4200.0,52500.0,,True,,,Etä,4375.0
2022-09-26 19:40:52.769,Palkansaaja,41-45 v,mies,5.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Frontend developer,Pääosin tai kokonaan etätyö,4800.0,60000.0,,True,,,Etä,5000.0
2022-09-26 19:41:54.259,Palkansaaja,41-45 v,muu,17.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Lead test engineer,kerran kuussa toimistolla firman piikkiin,5500.0,68750.0,,True,,,,5729.166666666667
2022-09-26 19:42:26.633,Palkansaaja,31-35 v,mies,8.0,,,,,,,,Tampere,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Lead developer,Pääosin tai kokonaan toimistolla,5500.0,72000.0,Palkka + bonus 5-10%,True,,,Toimisto,6000.0
2022-09-26 19:43:01.607,Laskuttaja,26-30 v,mies,8.0,0.0,Full stack,65.0,104000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,,,
2022-09-26 19:43:07.258,Palkansaaja,36-40 v,mies,11.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Backend Engineer,Jotain siltä väliltä,6170.0,130000.0,Kuukausipalkka + RSU,True,,,50/50,10833.333333333334
2022-09-26 19:46:51.616,Palkansaaja,36-40 v,mies,10.0,,,,,,,Sysart,Oulu,Konsulttitalossa,1.0,Full-stack,Pääosin tai kokonaan etätyö,6200.0,77500.0,,True,,,Etä,6458.333333333333
2022-09-26 19:50:03.076,Palkansaaja,36-40 v,mies,5.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",0.8,Full-stack,Pääosin tai kokonaan etätyö,4600.0,60000.0,"peruspalkka+bonukset (~kuukauden palkka), optioita (jotka muutaman kerran realisoituneet rahaksi asti, parin vuoden palkka extraa)",True,"Koodarikokemus on ~1-vuosi mitä paikkaa sitten pidempi kokemus yrityksestä, alasta ja tuotteesta. Optioiden muuntuminen rahaksi on ollut isoin yllätys omassa kompensaatiossa.",,Etä,5000.0
2022-09-26 19:54:20.058,Palkansaaja,36-40 v,,13.0,,,,,,,,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full Stack Developer,Jotain siltä väliltä,9700.0,13000.0,,True,,,50/50,1083.3333333333333
2022-09-26 19:55:22.911,Laskuttaja,26-30 v,mies,6.0,5.0,"Full Stack softadevausta, arkkitehtuuria, sparrausta, ympäristöjen tunkkausta",80.0,130000.0,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,,,,,
2022-09-26 20:10:17.098,Laskuttaja,36-40 v,mies,14.0,1.0,"Full stack, Azure-kehitys",90.0,,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,,,
2022-09-26 20:21:12.061,Palkansaaja,36-40 v,mies,3.0,,,,,,,,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,"Softakehittäjä, full stack",Pääosin tai kokonaan etätyö,4228.0,53000.0,Optiopaketti on,False,,,Etä,4416.666666666667
2022-09-26 20:25:52.220,Palkansaaja,21-25 v,mies,3.0,,,,,,,Series B Startup,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,"Software engineer, Full-stack",Pääosin tai kokonaan etätyö,13333.0,160000.0,Vähän optioita päälle,True,Ulkomainen firma jolle teen etänä Suomesta,,Etä,13333.333333333334
2022-09-26 20:32:14.508,Palkansaaja,41-45 v,mies,17.0,,,,,,,,,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Arkkitehti,Pääosin tai kokonaan etätyö,7150.0,89375.0,,True,,,Etä,7447.916666666667
2022-09-26 20:35:49.277,Laskuttaja,26-30 v,mies,1.0,1.0,"Full stack, enimmäkseen frontend",70.0,,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,,,,,
2022-09-26 20:43:53.990,Palkansaaja,36-40 v,mies,16.0,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,Full-stack -kehittäjä,Pääosin tai kokonaan etätyö,7080.0,85000.0,,True,,,Etä,7083.333333333333
2022-09-26 20:46:44.201,Palkansaaja,31-35 v,mies,12.0,,,,,,,Verkkokauppa.comj,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Ohjelmistokehittäjä,Omasta valinnasta 99% toimistolla,4600.0,60000.0,"Kiinteä kuukausipalkka, etuja kuten lounas, firman tuotteet sisäänostohintaan, satunnaisia rahabonuksia",False,"Etä vs. toimistossa hieman oudosti sanoitettu, että jos on ainoastaan etänä tai toimistolla niin firma silloin on määrännyt kyseisen tavan toimia, eikä niin että omasta valinnasta on joko pääosin etänä tai toimistolla, vaikka firman policy olisi vaikka ""päätä ite miten lystäät"" tms.",,,5000.0
2022-09-26 20:49:26.655,Laskuttaja,41-45 v,mies,20.0,0.5,"Full stack ja devops kehitystä, menetelmäkonsultointia, kehittäjäpalkkausta ja tiimin auttelua.",99.0,124000.0,Itse,"Suomesta, Ulkomailta",,,,,,,,,,,,,,
2022-09-26 20:56:37.476,Palkansaaja,36-40 v,mies,4.0,,,,,,,,EU,"Tuotetalossa, jonka core-bisnes on softa",1.0,Ohjelmistokehittäjä,Pääosin tai kokonaan etätyö,5200.0,71000.0,,True,,,Etä,5916.666666666667
2022-09-26 21:04:04.139,Palkansaaja,41-45 v,mies,23.0,,,,,,,,PK-Seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,Arkkitehti,Pääosin tai kokonaan etätyö,6000.0,86000.0,,True,,,Etä,7166.666666666667
2022-09-26 21:10:17.769,Palkansaaja,31-35 v,mies,10.0,,,,,,,Brella,PK-Seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,Senior Frontend Developer,Pääosin tai kokonaan etätyö,6120.0,76500.0,Optioita on,True,,,Etä,6375.0
