Timestamp,Palkansaaja vai laskuttaja,Siirtynyt palkansaaja/laskuttaja,Ikä,Sukupuoli,Suomen kielen taito,Työkieli,Työkokemus alalta (vuosina),Vuosia nykyisellä työnantajalla,Työpaikkojen lukumäärä,Yrityksen koko,Koulutustaustasi,Opintoala,Tulojen muutos viime vuodesta (%),Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Palvelut,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Laskutettavat tunnit viikossa,Viikot ilman laskutusta,Laskutustavat,Sopimuksen pituus,Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Kaupunki,Millaisessa yrityksessä työskentelet?,Työaika,Kuinka suuren osan ajasta teet lähityönä toimistolla?,Rooli,Seniority,Virallinen senioriteetti,Kuukausipalkka,"Provisio (kk, brutto)",Lomaraha (EUR),Bonus (EUR),Osakkeet/optiot (EUR),Vapaa kuvaus kokonaiskompensaatiomallista,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?,Bonukset (kuvaus),Edut (ei luontoisedut),Vuosittaiset verovapaat edut (EUR),Luontoisedut,Käyttöjärjestelmä,Ohjelmointikieli,Web-kehykset,Data & ML,DevOps & pilvi,Tietokannat,Vapaa sana,Palaute,Vastaustunniste,Vuositulot,Rooli (normalisoitu),Kk-tulot (laskennallinen),"Kk-tulot (laskennallinen, normalisoitu)"
2026-02-09 08:24:07.464,Palkansaaja,Ei,26-30,mies,Yes,Finnish,10.0,4.0,4.0,11-50,Upper secondary – general (lukio / high school equivalent),,11.5,,,,,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.2,"Developer, Full-Stack",Senior,Yes,4350.0,0.0,0.0,0.0,2400.0,"euros, monthly RSU and bonus RSU",En osaa sanoa,"Individual performance bonus, Stock options / equity, Referral bonus (for successful hires)","Health insurance, Work laptop, Other tools like high-end keyboard, mouse etc, Snacks and beverages in office",,Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction),macOS,"JavaScript, TypeScript","React, NestJS",SQL,"Docker, CI/CD (GitHub Actions, GitLab CI, Jenkins), Microsoft Azure",PostgreSQL,,,232c5dd184007a51,54600.0,"Developer, Full-Stack",4550.0,4550.0
2026-02-09 08:24:27.602,Palkansaaja,Ei,36-40,mies,Yes,Both,13.0,1.0,4.0,501-1000,"Master’s degree – university (FM, KTM, DI, etc.)","Natural Sciences, Mathematics, and Statistics",4.3,,,,,,,,,,,,Turku,Konsultointi,1.0,0.5,"Developer, Full-Stack",Senior,Yes,6000.0,0.0,3600.0,0.0,0.0,"Lunch benefit on top of salary, health-care ",Markkinataso,Lomaraha (Holiday bonus),"Health insurance, Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip), Free office parking (during work hours), Fixed-line internet to your home, Snacks and beverages in office",,"Full Lunch benefit employer pays 100% (luontoisetu/fringe benefit), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,"JavaScript, TypeScript, Python","React, Next.js",,"Docker, Terraform, AWS","PostgreSQL, Redis, DynamoDB",,,b684345588cd2300,75600.0,"Developer, Full-Stack",6300.0,6300.0
2026-02-09 08:27:37.544,Palkansaaja,Ei,36-40,nainen,Yes,English,16.0,3.0,5.0,6-10,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0133333333333334,0.4,"Developer, Full-Stack",Staff / Principal / Lead,No,6500.0,0.0,0.0,0.0,0.0,I receive stock options but the value is unclear,Alle markkinatason,Stock options / equity,"Work remotely from abroad (1 week or more), Work laptop, Snacks and beverages in office, Free weekly lunch",0.0,Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip),macOS,"TypeScript, Dart","React, Angular, NestJS",SQL,"CI/CD (GitHub Actions, GitLab CI, Jenkins), AWS",PostgreSQL,,,ac73a8246c67d44d,78000.0,"Developer, Full-Stack",6500.0,6414.473684210526
2026-02-09 08:28:15.603,Palkansaaja,Ei,46-50,mies,Yes,Finnish,22.0,13.0,4.0,1001-5000,Bachelor’s degree – university (kandidaatti / alempi korkeakoulututkinto),Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,PK-seutu,Konsultointi,1.0,1.0,"Developer, Full-Stack",Senior,Not sure,5900.0,0.0,3500.0,0.0,0.0,,Markkinataso,,"Health insurance, Work laptop, Home office equipment budget (chair, desk, etc.), Training/Courses/Education budget, Other tools like high-end keyboard, mouse etc, Monitors for home office, Snacks and beverages in office, Public transport subsidy (tax-free)",800.0,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,"JavaScript, TypeScript, Java","React, Spring Boot",SQL,"Docker, CI/CD (GitHub Actions, GitLab CI, Jenkins), AWS",PostgreSQL,,,c762530bcf409920,74300.0,"Developer, Full-Stack",6191.666666666667,6191.666666666667
2026-02-09 08:30:51.805,Palkansaaja,Ei,41-45,mies,Yes,Both,15.0,2.0,7.0,11-50,Upper secondary – general (lukio / high school equivalent),Information and Communication Technologies (ICT / Computer Science),1.5,,,,,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.2,"Developer, Full-Stack",Staff / Principal / Lead,Yes,6950.0,0.0,3500.0,0.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Company performance bonus","Work remotely from abroad (1 week or more), Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip), Free office parking (during work hours), Training/Courses/Education budget, Other tools like high-end keyboard, mouse etc, Snacks and beverages in office, Public transport subsidy (tax-free)",,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Employer-subsidised commuter ticket (taxed), Garage (outside work hours)",macOS,"JavaScript, TypeScript, Python","Node.js, Lit","SQL, Kafka, Pandas / NumPy","Docker, Kubernetes, Terraform","PostgreSQL, Cassandra, Tiger Data (Timescale)",,,a19e51634cfdf7a7,86900.0,"Developer, Full-Stack",7241.666666666667,7241.666666666667
2026-02-09 08:31:50.654,Laskuttaja,Ei,41-45,mies,Yes,Both,20.0,2.0,10.0,1,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),2.0,8.0,Full-stack,98.0,203000.0,43.0,7.0,Hourly billing,Over 24 months,Agencies,Suomesta,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,macOS,"TypeScript, Python, Java","React, Next.js, Spring Boot",,"Docker, Terraform, CI/CD (GitHub Actions, GitLab CI, Jenkins)",PostgreSQL,,,85b9992fdf278fa9,,,,
2026-02-09 08:34:16.602,Palkansaaja,,31-35,mies,Yes,Both,9.0,3.0,5.0,1001-5000,Bachelor’s degree – university (kandidaatti / alempi korkeakoulututkinto),Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,Tampere,Konsultointi,1.0,0.0,"Developer, Embedded Applications or Devices",Senior,Yes,5300.0,0.0,0.0,0.0,0.0,,Alle markkinatason,"Lomaraha (Holiday bonus), Stock options / equity, Referral bonus (for successful hires)","Health insurance, Work remotely from abroad (1 week or more), Work laptop, Training/Courses/Education budget, Monitors for home office, Snacks and beverages in office, Public transport subsidy (tax-free)",,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",Windows + WSL,"C, C++",,,,,,,74768f855e598902,63600.0,"Developer, Embedded Applications or Devices",5300.0,5300.0
2026-02-09 08:38:43.251,Palkansaaja,Ei,41-45,mies,Yes,Both,26.0,1.0,7.0,6-10,Master’s degree – AMK (YAMK),Information and Communication Technologies (ICT / Computer Science),40.0,,,,,,,,,,,,Joensuu,"Yritys, jossa softa tukirooli",1.0,0.0,"Developer, Full-Stack",Staff / Principal / Lead,No,8000.0,0.0,4000.0,36000.0,0.0,"2/3 salary, 1/3 personal goals based bonuses",Yli markkinatason,"Lomaraha (Holiday bonus), Individual performance bonus, Stock options / equity","Health insurance, Work remotely from abroad (1 week or more), Work laptop",0.0,Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip),macOS,"TypeScript, Python","React, Tanstack, Bun",SQL,"Docker, CI/CD (GitHub Actions, GitLab CI, Jenkins), AWS",PostgreSQL,,,25e9116780eafe56,136000.0,"Developer, Full-Stack",11333.333333333334,11333.333333333334
2026-02-09 08:39:27.507,Palkansaaja,Ei,36-40,mies,Yes,Both,12.0,5.0,6.0,501-1000,Bachelor’s degree – university (kandidaatti / alempi korkeakoulututkinto),Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,Mirantis,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.01,Engineering Manager,Staff / Principal / Lead,Yes,10000.0,0.0,5000.0,0.0,0.0,Stock options,Yli markkinatason,"Lomaraha (Holiday bonus), Stock options / equity","Health insurance, Work laptop, Home office equipment budget (chair, desk, etc.), Other tools like high-end keyboard, mouse etc, Monitors for home office",1300.0,,macOS,TypeScript,"React, Node.js, NestJS",SQL,"Docker, Kubernetes, CI/CD (GitHub Actions, GitLab CI, Jenkins)",PostgreSQL,,,cfdf9cec2f966c5c,125000.0,Engineering Manager,10416.666666666666,10416.666666666666
2026-02-09 08:40:10.265,Palkansaaja,Ei,36-40,mies,Yes,Both,7.0,1.0,3.0,101-500,"Bachelor’s degree – AMK (insinööri, tradenomi, etc.)",Information and Communication Technologies (ICT / Computer Science),-50.0,,,,,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.8,"Developer, Mobile",Senior,No,5300.0,0.0,3200.0,0.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Stock options / equity","Health insurance, Work laptop",0.0,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip), Employer-subsidised commuter ticket (taxed)",Linux (bare metal / native),"Java, Kotlin",,,,,,,721f365009e89fe9,66800.0,"Developer, Mobile",5566.666666666667,5566.666666666667
2026-02-09 08:40:11.128,Palkansaaja,Ei,26-30,mies,Yes,Both,7.0,1.0,3.0,501-1000,Bachelor’s degree – university (kandidaatti / alempi korkeakoulututkinto),Information and Communication Technologies (ICT / Computer Science),28.78,,,,,,,,,,,Reaktor,PK-seutu,Konsultointi,1.0,0.9,"Developer, Full-Stack",Senior,Not sure,5400.0,0.0,3240.0,0.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Stock options / equity","Health insurance, Work remotely from abroad (1 week or more), Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip), Training/Courses/Education budget, Fixed-line internet to your home, Other tools like high-end keyboard, mouse etc, Snacks and beverages in office",400.0,"Full Lunch benefit employer pays 100% (luontoisetu/fringe benefit), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip), Garage (outside work hours)",macOS,"JavaScript, Kotlin",React,,"Docker, CI/CD (GitHub Actions, GitLab CI, Jenkins)",,,,206dfe9ba7246f56,68040.0,"Developer, Full-Stack",5670.0,5670.0
2026-02-09 08:43:10.527,Palkansaaja,Ei,36-40,mies,Yes,English,15.0,,6.0,51-100,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,PK-seutu,Konsultointi,1.0,0.2,"Architect, Software or Solutions",Staff / Principal / Lead,No,9500.0,6500.0,0.0,6000.0,0.0,Pohjapalkka + provisio,Yli markkinatason,"Lomaraha (Holiday bonus), Individual performance bonus, Referral bonus (for successful hires)","Health insurance, Work remotely from abroad (1 week or more), Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip), Snacks and beverages in office",,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,"TypeScript, Java, Go","React, Node.js, Spring Boot","SQL, Kafka","Linux server, Docker, Kubernetes","PostgreSQL, MongoDB, DynamoDB",,,0a8c55e488dccbd7,120000.0,"Architect, Software or Solutions",10000.0,10000.0
2026-02-09 08:43:40.512,Palkansaaja,Ei,36-40,Prefer not to say,Yes,Both,20.0,4.0,5.0,10000+,"Master’s degree – university (FM, KTM, DI, etc.)","Business, Administration, and Law",3.9,,,,,,,,,,,,Oulu,Konsultointi,1.0,0.04,"Architect, Software or Solutions",Staff / Principal / Lead,Yes,8780.0,0.0,5268.0,0.0,0.0,,Markkinataso,"Lomaraha (Holiday bonus), Individual performance bonus, Overtime extra pay (e.g. 1.5x or 2x pay rate), Stock options / equity, Referral bonus (for successful hires), On-call compensation (standby pay)","Health insurance, Work laptop, Free office parking (during work hours), Training/Courses/Education budget, Snacks and beverages in office",400.0,"Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction), Mobile phone with paid plan (Select only if 20 € puhelinetu on payslip)",macOS,Python,,"SQL, Airflow, Snowflake / BigQuery / Redshift","Linux server, Docker, AWS","PostgreSQL, SQL Server, DynamoDB",,,60cb24409a3288f1,110628.0,"Architect, Software or Solutions",9219.0,9219.0
2026-02-09 08:44:01.881,Palkansaaja,Ei,41-45,mies,Yes,Both,20.0,3.0,4.0,10000+,Doctorate (PhD / tohtori),Information and Communication Technologies (ICT / Computer Science),0.0,,,,,,,,,,,,PK-seutu,Julkinen/kolmas sektori,1.0,0.5,,Junior / Entry-level,Yes,4407.5,0.0,2000.0,0.0,0.0,,Yli markkinatason,Lomaraha (Holiday bonus),"Health insurance, Work laptop, Free office parking (during work hours), Snacks and beverages in office, Public transport subsidy (tax-free)",120.0,,macOS,TypeScript,"React, Node.js",,Docker,,,,0b67048104144b12,54890.0,,4574.166666666667,4574.166666666667
2026-02-09 08:45:32.034,Palkansaaja,Ei,36-40,mies,Yes,Finnish,14.0,3.0,10.0,501-1000,Upper secondary – vocational (ammatillinen perustutkinto),Information and Communication Technologies (ICT / Computer Science),2.0,,,,,,,,,,,Valtio,PK-seutu,Julkinen/kolmas sektori,0.9666666666666667,0.2,DevOps Engineer or Professional,Senior,Not sure,4600.0,0.0,2300.0,0.0,0.0,,Alle markkinatason,Lomaraha (Holiday bonus),"Health insurance, Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip)",150.0,Partial Lunch benefit employer pays 25% (lounasvähennys/lunch deduction),Windows + WSL,JavaScript,"React, Next.js, Node.js",,"Linux server, Microsoft Azure, Bicep",,,,6ab2042b6b06962c,57500.0,DevOps Engineer or Professional,4791.666666666667,4956.896551724139
2026-02-09 08:47:46.351,Palkansaaja,Ei,36-40,mies,Yes,Both,12.0,0.0,8.0,6-10,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),-7.0,,,,,,,,,,,,Etätyö,Consulting and product,1.0,0.0,AI-native do-it-all one-man-show projects,Senior,Yes,6500.0,0.0,3900.0,0.0,0.0,,Markkinataso,Lomaraha (Holiday bonus),Work laptop,,Full Lunch benefit employer pays 100% (luontoisetu/fringe benefit),macOS,"TypeScript, Python","React, FastAPI",SQL,"Docker, Terraform, CI/CD (GitHub Actions, GitLab CI, Jenkins)",PostgreSQL,,,1dc014d89b40c4b7,81900.0,AI-native do-it-all one-man-show projects,6825.0,6825.0
2026-02-09 08:48:28.310,Palkansaaja,Ei,36-40,mies,Yes,English,12.0,4.0,3.0,1001-5000,"Master’s degree – university (FM, KTM, DI, etc.)",Information and Communication Technologies (ICT / Computer Science),4.0,,,,,,,,,,,Mapbox,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.0,"Developer, Backend",Senior,Yes,12063.33,450.0,6968.0,0.0,29710.0,Base + static oncall comp + stock options,Yli markkinatason,"Lomaraha (Holiday bonus), Overtime extra pay (e.g. 1.5x or 2x pay rate), Stock options / equity, Referral bonus (for successful hires), On-call compensation (standby pay)","Health insurance, Work laptop, Mobile phone with paid plan (Select only if NO 20 € puhelinetu on payslip), Home office equipment budget (chair, desk, etc.), Training/Courses/Education budget, Fixed-line internet to your home, Other tools like high-end keyboard, mouse etc, Monitors for home office, Snacks and beverages in office, Public transport subsidy (tax-free)",600.0,,macOS,"TypeScript, Rust, C++",Node.js,"SQL, Airflow, Pandas / NumPy","Docker, CI/CD (GitHub Actions, GitLab CI, Jenkins), AWS","Redis, DynamoDB",,,8798bd5564e87e73,181437.96,"Developer, Backend",15119.83,15119.83
