Timestamp,Palkansaaja vai laskuttaja,Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2022 jälkeen?,Ikä,Sukupuoli,Työkokemus alalta (vuosina),Koulutustaustasi,Tulojen muutos viime vuodesta (%),Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Palvelut,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Kaupunki,Millaisessa yrityksessä työskentelet?,Työaika,Kuinka suuren osan ajasta teet lähityönä toimistolla?,Rooli,Kuukausipalkka,Vuositulot,Vapaa kuvaus kokonaiskompensaatiomallista,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen? (muut vastaukset),Vapaa sana,Palaute,Vastauskieli,Vastaustunniste,Rooli (normalisoitu),Kk-tulot (laskennallinen),"Kk-tulot (laskennallinen, normalisoitu)"
2023-09-04 09:30:55.752,Palkansaaja,Ei,31-35,mies,14.0,Ylioppilas,0.0,,,,,,,Verkkokauppa.comj,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.95,Senior Software Engineer,4560.0,62000,"Omat tuotteet sisäänostohintaan, lounasetu, jne. pientä",Ei,,,,fi,e8d85d9926ee59d8,Senior Software Engineer,5166.666666666667,5166.666666666667
2023-09-04 09:31:31.348,Palkansaaja,Ei,31-35,mies,11.0,DI,5.0,,,,,,,,Turku,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.95,Senior software developer,6050.0,76000,,Kyllä,,,Vuoden odotetuin ja tärkein kysely! Uskon että tästä on konkreettista hyötyä IT alan työntekijöille,fi,8e3c97e7849cf0e9,*Senior Developer,6333.333333333333,6333.333333333333
2023-09-04 09:32:07.919,Palkansaaja,Ei,41-45,mies,26.0,ylioppilas,6.0,,,,,,,Wunderdog,PK-seutu,Konsulttitalossa,1.0,0.6,Senior Software Developer,7100.0,90000,palkka + vuosibonukset + osakkeita,Kyllä,,,,fi,eedc8e905c4ef95b,*Senior Developer,7500.0,7500.0
2023-09-04 09:32:37.535,Palkansaaja,Ei,36-40,,15.0,FM,3.0,,,,,,,,Oulu,Konsulttitalossa,1.0,0.05,Architect,8650.0,110000,Palkka+bonus+stonks,Kyllä,,,,fi,0b250cbfac842259,Architect,9166.666666666666,9166.666666666666
2023-09-04 09:33:51.107,Palkansaaja,Ei,41-45,mies,23.0,Merkonomi,0.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.1,"Team lead, architect, full stack developer",5800.0,71000,Pienehkö määrä optioita,Ei,,,,fi,f5ff32fc3b51a2f3,"Team lead, architect, full stack developer",5916.666666666667,5916.666666666667
2023-09-04 09:34:06.895,Palkansaaja,Ei,36-40,mies,15.0,,5.0,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.1,Software architect,6600.0,85000,,Kyllä,,,,fi,beb1b2de7b526abe,Software architect,7083.333333333333,7083.333333333333
2023-09-04 09:34:31.337,Palkansaaja,Ei,31-35,mies,12.0,Filosofian maisteri (tietojenkäsittelytiede),31.0,,,,,,,Compile,PK-seutu,Konsulttitalossa,1.0,0.05,Software Specialist,7200.0,1500,Asiakastyytyväisyysbonus,Kyllä,,,,fi,b0dd507db4df3f27,Software Specialist,125.0,125.0
2023-09-04 09:35:36.467,Palkansaaja,Ei,26-30,mies,5.0,AMK,5.0,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.01,DevOps engineer,4400.0,53000,,Ei,,,,fi,bef8c43174b323ec,DevOps engineer,4416.666666666667,4416.666666666667
2023-09-04 09:37:08.770,Palkansaaja,Ei,31-35,mies,15.0,AMK,,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.33,Solutions Architect,9000.0,130000,Peruspalkka + RSU,Kyllä,,,,fi,aba6f43995564691,Solutions Architect,10833.333333333334,10833.333333333334
2023-09-04 09:38:56.397,Palkansaaja,Ei,36-40,mies,8.0,FM,13.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.0,Lead Software Engineer,6900.0,97000,Peruspalkka + Bonus + Optiot. Optioille en laskenut arvoa vuosituloissa,Kyllä,,,,fi,ed466c392caf9af3,Lead Software Engineer,8083.333333333333,8083.333333333333
2023-09-04 09:40:24.757,Palkansaaja,Ei,41-45,mies,25.0,Insinööri,5.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.15,Tietoturvainsinööri,7000.0,90000,"Aloittaessa optiopaketti, vuosittain bonus",Kyllä,,,,fi,a7650dc69c93f14d,Tietoturvainsinööri,7500.0,7500.0
2023-09-04 09:40:52.727,Laskuttaja,palkansaaja → laskuttaja,31-35,nainen,7.0,Alempi korkeakoulututkinto,,0.0,Full stack,80.0,,Itse,Suomesta,,,,,,,,,,Muu,,,,fi,cee6a8bada3484d1,,,
2023-09-04 09:42:33.623,Palkansaaja,Ei,21-25,mies,3.0,ylioppilastutkinto,30.0,,,,,,,Vincit,PK-seutu,Konsulttitalossa,1.0,0.8,,6500.0,80000,,Kyllä,,,,fi,6191705b1b8938a2,,6666.666666666667,6666.666666666667
2023-09-04 09:44:00.355,Palkansaaja,Ei,26-30,mies,2.0,DI:tä vastaava ulkomailta,4.175,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.9,Automation Engineer,4167.7,51012.4,,Muu,En tiedä,,Kiitos!,fi,074c59b4b02a38b8,Automation Engineer,4251.033333333334,4251.033333333334
2023-09-04 09:44:02.111,Palkansaaja,Ei,31-35,mies,12.0,Tietojenkäsittelytieteen maisteri,0.0,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.5,Senior Backend Developer,8000.0,100000,Provisio 50% laskutuksesta,Kyllä,,,,fi,a24339e78e3023e3,Senior Backend Developer,8333.333333333334,8333.333333333334
2023-09-04 09:44:03.803,Palkansaaja,Ei,46-50,mies,26.0,Peruskoulu ,14.0,,,,,,,NorthCode LTD,PK-seutu,Konsulttitalossa,1.0,0.02,QA / Devops engineer,6500.0,85000,Kiinteä kk palkka plus bonukset ,Kyllä,,,,fi,0211b35195d4035a,QA / Devops engineer,7083.333333333333,7083.333333333333
2023-09-04 09:44:11.055,Laskuttaja,Ei,41-45,mies,20.0,DI,-5.0,6.5,Full stack softadevaus,97.0,150000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,Muu,,,,fi,a87561d4b6fa060a,,,
2023-09-04 09:46:12.363,Palkansaaja,Ei,26-30,mies,4.0,Tietojenkäsittelyn tradenomi,12.0,,,,,,,Vincit,Tampere,Konsulttitalossa,1.0,0.5,Scrum master / Full-stack developer,4700.0,58750,Yrityksen tulokseen perustuva bonus,Kyllä,,,,fi,a96d74937a93330c,Scrum master / Full-stack developer,4895.833333333333,4895.833333333333
2023-09-04 09:46:14.153,Palkansaaja,Ei,41-45,nainen,2.0,"2 x korkeakoulututkinto, ammatillinen osatutkinto",60.0,,,,,,,,työpaikka hajautettu,"Tuotetalossa, jonka core-bisnes on softa",0.987,0.03,Web developer,2700.0,33750.0,,Ei,,,,fi,5217edb303e28f4d,Web developer,2812.5,2849.5440729483284
2023-09-04 09:46:33.785,Laskuttaja,Ei,21-25,mies,7.0,Datanomi,18.0,3.0,Full stack,75.0,150000.0,Itse,"Suomesta, Ulkomailta",,,,,,,,,,Muu,,,,fi,aa23a75a2f5c6ba0,,,
2023-09-04 09:46:49.280,Palkansaaja,Ei,36-40,mies,12.0,diplomi-insinööri,3.0,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.01,Cloud software developer,5018.0,63000,,Kyllä,,,,fi,82cabd90700f30d3,Cloud software developer,5250.0,5250.0
2023-09-04 09:48:54.312,Laskuttaja,Ei,46-50,mies,22.0,ylioppilas,2.0,2.0,"Backend, pipeline, integration, application, 3d rendering, CAD/DCC",92.0,150000.0,Itse,"Suomesta, Ulkomailta",,,,,,,,,,Muu,,,,fi,6b3aef4913d765a9,,,
2023-09-04 09:49:30.747,Palkansaaja,Ei,21-25,mies,3.0,Kandidaatti,36.0,,,,,,,,Lontoo,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.9,Software Engineer,12000.0,300000,Vuodessa kerran maksettava bonus joka pohjautuu firman ja yksilön performanssin on iso osa kokonaiskompensaatiota,Muu,"Maksaa paremmin kuin moni muu, mutta osa kilpailijoista maksaa vielä enemmän",,,fi,32f7a5f7d94e6401,Software Engineer,25000.0,25000.0
2023-09-04 09:50:07.647,Palkansaaja,laskuttaja → palkansaaja,26-30,mies,10.0,AMK,15.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.6,DevOps Engineer,5700.0,72000.0,Rahulia ja osinkoa,Kyllä,,Pelihommia,,fi,9f74cbddda272ac8,DevOps Engineer,6000.0,6000.0
2023-09-04 09:51:59.554,Palkansaaja,Ei,21-25,mies,2.0,Tekniikan ylioppilas ,25.0,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",0.15,0.9,Full stack developer,1240.0,15500.0,,Kyllä,,,,fi,a0bb0d259bd2b31d,*Full-stack Developer,1291.6666666666667,8611.111111111111
2023-09-04 09:52:00.652,Palkansaaja,Ei,36-40,mies,9.0,TkK,-18.0,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.03,Senior Software Engineer,6000.0,75000,,Kyllä,,,,fi,5f30a154b7c54245,Senior Software Engineer,6250.0,6250.0
2023-09-04 09:52:10.841,Palkansaaja,Ei,36-40,mies,13.0,AMK-insinööri,7.0,,,,,,,,,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.08,CxO,9100.0,131000,kuukausipalkka+osakkeet+bonus,Kyllä,,,,fi,e46b9287554d4427,CxO,10916.666666666666,10916.666666666666
2023-09-04 09:53:14.855,Palkansaaja,Ei,15-20,mies,5.0,,,,,,,,,,PK-seutu,,1.0,0.1,"Software Engineering Consultant, Web",6800.0,81600,Provisio laskutuksesta,Kyllä,,,,fi,14ce6982f09d8078,"Software Engineering Consultant, Web",6800.0,6800.0
2023-09-04 09:53:39.762,Palkansaaja,Ei,41-45,mies,18.0,Insinööri Amk.,3.0,,,,,,,,Turku,Konsulttitalossa,1.0,0.95,"Konsultti, PDM/PLM järjestelmät",5269.0,65000,"Kiinteän palkan lisäksi lomararaha, sekä firman bonus, jota tänä vuonna(kaan) ei saatu yhtään",Kyllä,,,,fi,ed30916b9aa7e06e,"Konsultti, PDM/PLM järjestelmät",5416.666666666667,5416.666666666667
2023-09-04 09:55:53.964,Palkansaaja,Ei,21-25,mies,6.0,Lukio,2.8,,,,,,,Gofore,Tampere,Konsulttitalossa,1.0,0.01,Frontend developer,3960.0,49500,,Ei,,,,fi,2a17a4e90f219d11,Frontend developer,4125.0,4125.0
2023-09-04 09:56:17.814,Palkansaaja,Ei,36-40,mies,16.0,diplomi-insinööri,7.3,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.4,Full stack developer,6727.0,94000,,Kyllä,,,,fi,c631dd854e69820e,*Full-stack Developer,7833.333333333333,7833.333333333333
2023-09-04 09:56:50.472,Palkansaaja,Ei,31-35,mies,13.0,Ylempi korkeakoulututkinto,0.0,,,,,,,Compile,PK-seutu,Konsulttitalossa,1.0,0.0,Software Architect,10000.0,125000,"Provisio laskutuksesta, asiakastyytyväisyys-bonus, rekry-/liidi-palkkiot",Kyllä,,,,fi,25aae70c44b308b4,Software Architect,10416.666666666666,10416.666666666666
2023-09-04 09:57:07.743,Palkansaaja,Ei,31-35,mies,5.0,AMK,-5.3,,,,,,,Gofore,Tampere,Konsulttitalossa,1.0,0.2,Scrum Master / Full-stack kehittäjä,4357.0,52284,,Ei,,,,fi,7571916dfc533efe,Scrum Master / Full-stack kehittäjä,4357.0,4357.0
2023-09-04 09:57:09.494,Palkansaaja,Ei,41-45,mies,20.0,"Tietojenkäsittelytiede, FM",105.0,,,,,,,,PK-seutu,Service provider,1.06,0.05,Solutions Architect,9700.0,135000,"palkka, bonus ja osakkeet",Kyllä,,,,fi,6b5948846ea3050c,Solutions Architect,11250.0,10613.20754716981
2023-09-04 09:58:02.010,Palkansaaja,Ei,31-35,mies,8.0,Filosofian maisteri (tietojenkäsittely),5.0,,,,,,,Vincit,Tampere,Konsulttitalossa,1.0,0.2,Fullstack developer (mostly frontend),4200.0,56000,Palkka + vaihteleva bonus (n. 250-600 e/kk),Muu,EOS,,,fi,e65136c5c9f26bc8,Fullstack developer (mostly frontend),4666.666666666667,4666.666666666667
2023-09-04 09:58:06.242,Palkansaaja,Ei,41-45,mies,5.0,Liiketalouden tradenomi,8.0,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.05,Software Engineer,4566.0,57075.0,kuukausipalkka + optiopaketti,Kyllä,,,,fi,3d41db6df4a9802a,Software Engineer,4756.25,4756.25
2023-09-04 09:59:54.301,Laskuttaja,Ei,36-40,mies,12.0,Tekniikan yo,2.0,3.0,Full stack devausta,76.0,50000.0,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,Muu,,Isyysvapaalla ison osan vuodesta,,fi,cec0b1eaa1c8c4dc,,,
2023-09-04 10:00:21.737,Palkansaaja,Ei,31-35,mies,9.0,tietotekniikan DI,8.33,,,,,,,Mapbox,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.1,Senior software development engineer,10833.0,135500€/vuosi sisältäen lomarahat + optioita + veroton liikunta/kulttuurietuus,"4 vuoden optiopaketti, 1 vuoden cliff ja vestaantuu kuukausittain. Nykyarvolla mitattuna 200-400€/kk, mutta ihan yltiöoptimistisessa tilanteessa vuositulot tuplaantuisi. Todellisuus varmaan jossain siinä välissä. ",Kyllä,,,,fi,6f768f2bf0a79731,Senior software development engineer,,
2023-09-04 10:00:38.163,Palkansaaja,Ei,31-35,mies,6.0,"Maisteri, TKT",4.5,,,,,,,Crowd Collective,PK-seutu,Konsulttitalossa,1.0,0.9,Senior Consultant,5435.0,67937.5,,Kyllä,,,,fi,d5144c3bf92bd30d,Senior Consultant,5661.458333333333,5661.458333333333
2023-09-04 10:01:08.842,Palkansaaja,Ei,26-30,mies,11.0,"Ammattikoulu, Datanomi",15.0,,,,,,,Reaktor,PK-seutu,Konsulttitalossa,1.0,1.0,Software developer,6000.0,80000,Kiinteä kuukausipalkka. Osakeohjelma tarjolla kaikille.,Kyllä,,,,fi,77bfbcfdf7dd1469,Software developer,6666.666666666667,6666.666666666667
2023-09-04 10:05:35.840,Palkansaaja,Ei,31-35,mies,10.0,Tekniikan kandidaatti,7.0,,,,,,,Mirantis,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.01,Engineering Manager,9400.0,117000,Optiot,Kyllä,,,,fi,6d69152e67435d97,Engineering Manager,9750.0,9750.0
2023-09-04 10:05:38.397,Palkansaaja,Ei,41-45,mies,14.0,,-4.0,,,,,,,Pieni tuotetalo,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.15,Senior software developer,6500.0,85000,Firman tulokseen perustuva bonusmalli. Bonus 0-20%.,Kyllä,,,,fi,af34df882be9879e,*Senior Developer,7083.333333333333,7083.333333333333
2023-09-04 10:09:32.065,Palkansaaja,Ei,46-50,mies,22.0,FM,7.0,,,,,,,Gofore,Tampere,Konsulttitalossa,1.0,0.2,Ohjelmistokehittäjä,5234.0,66000,,Kyllä,,,,fi,bb0ff77e8203d00d,Ohjelmistokehittäjä,5500.0,5500.0
2023-09-04 10:10:17.446,Laskuttaja,palkansaaja → laskuttaja,36-40,mies,11.0,Tietotekniikan DI,,1.0,Full stack devaus,74.0,120000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,Muu,,"1. Vuosi yrittäjänä menossa, arvio koko vuoden laskutuksesta",,fi,192226131eceb679,,,
2023-09-04 10:11:38.217,Palkansaaja,Ei,26-30,mies,4.0,AMK-insinööri,3.0,,,,,,,,Kuopio,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.6,Cloud Infrastructure Developer,5000.0,10000,,Kyllä,,,,fi,b62301f0f89569d4,Cloud Infrastructure Developer,833.3333333333334,833.3333333333334
2023-09-04 10:13:22.347,Palkansaaja,Ei,36-40,mies,12.0,"LuK, Tkt",21.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.05,Backend Engineer,6600.0,102500,RSU:t,Kyllä,,,,fi,fb33fc225d97223c,Backend Engineer,8541.666666666666,8541.666666666666
2023-09-04 10:13:27.854,Palkansaaja,Ei,31-35,,6.0,kandidaatti,15.0,,,,,,,,Tampere,Konsulttitalossa,1.0,0.0,Full stack developer,5600.0,72000,Palkka sidottu laskutukseen suht korkealla takuupalkalla,Kyllä,,,,fi,0748cbb192745a9c,*Full-stack Developer,6000.0,6000.0
2023-09-04 10:15:44.118,Palkansaaja,Ei,31-35,mies,10.0,DI - Tietotekniikka,8.33,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.4,Full-stack,6500.0,81500,Osakeoptio-ohjelma,Kyllä,,,,fi,c110ec4fa185ec8d,Full-stack,6791.666666666667,6791.666666666667
2023-09-04 10:17:11.105,Palkansaaja,Ei,36-40,mies,12.0,ylioppilas,,,,,,,,,Turku,Konsulttitalossa,1.0,0.0,Fullstack developer,5900.0,105000,kk-palkka + osingot,Kyllä,,,,fi,15207becd661e794,*Full-stack Developer,8750.0,8750.0
2023-09-04 10:17:20.500,Laskuttaja,Ei,31-35,mies,10.0,DI,0.0,2.0,Full stack + arkkitehti,90.0,75000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,Muu,,,,fi,fc44073e34057976,,,
2023-09-04 10:17:41.868,Palkansaaja,Ei,31-35,mies,10.0,Tradenomi,6.25,,,,,,,Wunderdog,PK-seutu,Konsulttitalossa,1.0,0.2,Senior Full-stack Developer,5950.0,76000,,Kyllä,,,,fi,8f44d3d206554377,Senior Full-stack Developer,6333.333333333333,6333.333333333333
2023-09-04 10:20:07.557,Palkansaaja,Ei,36-40,mies,7.0,Tietotekniikan perustutkinto,3.0,,,,,,,,Tampere,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.0,Senior Frontend Engineer,,6489,,Kyllä,,,,fi,1cbc7164edbbc1a4,Senior Frontend Engineer,540.75,540.75
2023-09-04 10:20:34.488,Palkansaaja,Ei,26-30,mies,5.0,AMK,5.0,,,,,,,,Jyväskylä,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.05,Cloud Specialist,5200.0,65000,,Kyllä,,,,fi,222f123547b02f86,Cloud Specialist,5416.666666666667,5416.666666666667
2023-09-04 10:21:16.764,Palkansaaja,Ei,21-25,mies,3.0,Lukio,32.0,,,,,,,,PK-seutu,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.0,Software engineer,4650.0,60000,lounarit yms,Kyllä,,,,fi,7b69de96700325d6,Software engineer,5000.0,5000.0
2023-09-04 10:21:35.939,Palkansaaja,Ei,41-45,mies,20.0,Filosofian Maisteri,5.0,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",1.0,0.1,Software Architect,7000.0,100000,palkka + bonuksia + osakkeita,Kyllä,,,,fi,f0ed8d781a064841,Software Architect,8333.333333333334,8333.333333333334
2023-09-04 10:21:56.328,Palkansaaja,Ei,31-35,,5.0,AMK,180.0,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.01,Senior consultant,8500.0,110000,-,Kyllä,,,,fi,ab8a4178374ab30c,Senior consultant,9166.666666666666,9166.666666666666
2023-09-04 10:22:41.392,Palkansaaja,Ei,41-45,,2.0,Yliopisto/maisteri,0.0,,,,,,,Accenture,PK-seutu,Konsulttitalossa,1.0,0.05,Analyst,3800.0,48000,,Muu,yrityksen sisällä ei ole kilpailukykyinen. Samoja tehtäviä tekevät kollegat ansaitsevat enemmän,,,fi,6813e43a864f202e,Analyst,4000.0,4000.0
2023-09-04 10:28:33.672,Palkansaaja,Ei,41-45,mies,23.0,"Diplomi-insinööri, tietotekniikka",3.5,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.6,Fullstack developer,6654.0,87000,,Kyllä,,,,fi,57d0ed0545e89cde,*Full-stack Developer,7250.0,7250.0
2023-09-04 10:31:56.073,Laskuttaja,Ei,41-45,mies,20.0,DI,0.0,7.0,Data & AI,110.0,150000.0,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,Muu,,,,fi,46edce8a178505be,,,
2023-09-04 10:32:49.235,Palkansaaja,Ei,36-40,mies,7.0,Ylempi korkeakoulututkinto (ei IT),3.5,,,,,,,,PK-seutu,Konsulttitalossa,1.0,0.75,Data-konsultti/engineer/arkkitehti,5900.0,73000,Osakkuus,Kyllä,,,,fi,d032c387e50ce8fd,Data-konsultti/engineer/arkkitehti,6083.333333333333,6083.333333333333
2023-09-04 10:33:01.917,Laskuttaja,Ei,31-35,,10.0,DI,,5.0,Project Lead,130.0,200000.0,Itse,"Suomesta, Ulkomailta",,,,,,,,,,Muu,,,,fi,188b372577a084a8,,,
2023-09-04 10:35:49.037,Laskuttaja,Ei,31-35,mies,15.0,ammattikoulu,,7.0,"Projektinhallinta, rekrykonsultointi",160.0,200000.0,Itse,"Suomesta, Ulkomailta",,,,,,,,,,Muu,,,,fi,c4ff21f9b6519962,,,
2023-09-04 10:35:57.756,Palkansaaja,Ei,36-40,mies,8.0,,9.6,,,,,,,Mehiläinen,Tampere,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.1,Senior frontend developer,5700.0,68400,"Kompensaatio vain palkkaa, ei tule lomarahoja",Ei,,,,fi,80f98057c4eaeb17,Senior frontend developer,5700.0,5700.0
2023-09-04 10:38:53.367,Laskuttaja,Ei,36-40,mies,12.0,Tradenomi,0.0,2.0,"Full-stack development, Arkkitehtuuri",88.0,152000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,Muu,,,,fi,ee873e00e0dfe2b1,,,
2023-09-04 10:40:10.912,Palkansaaja,Ei,46-50,mies,25.0,,4.0,,,,,,,,PK-seutu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",1.0,0.3,,8000.0,135000,Tulospalkkio,Kyllä,,,,fi,5875e1da33d12bee,,11250.0,11250.0
