Timestamp	Oletko palkansaaja vai laskuttaja?	Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2022 jälkeen?	Ikä	Sukupuoli	Työkokemus alalta (vuosina)	Koulutustaustasi	Tulojen muutos viime vuodesta (%)	Montako vuotta olet tehnyt laskuttavaa työtä alalla?	Mitä palveluja tarjoat?	Tuntilaskutus (ALV 0%, euroina)	Vuosilaskutus (ALV 0%, euroina)	Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?	Mistä asiakkaat ovat?	Työpaikka	Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?	Millaisessa yrityksessä työskentelet?	Työaika	Kuinka suuren osan ajasta teet lähityönä toimistolla?	Rooli / titteli	Kuukausipalkka (brutto, euroina)	Vuositulot (sis. bonukset, osingot yms, euroina)	Vapaa kuvaus kokonaiskompensaatiomallista	Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?	Vapaa sana	Palautetta kyselystä ja ideoita ensi vuoden kyselyyn
04/09/2023 09:30:48	Palkansaaja	En	31-35	Nainen	7		3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Senior Software Developer	5000	57100		Ei		
04/09/2023 09:30:55	Palkansaaja	En	26-30	Mies	5	DI, Ohjelmistotekniikka, Turun Yliopisto	8							Arado	Turku	Konsulttitalossa	99	45	Senior Consultant	7300	87600	50% laskutuksesta tai 4000€ takuupalkka 	Kyllä		Kiinnostaisi nähdä miten eri teknologioiden kanssa puuhastelu vaikuttaa palkkaan
04/09/2023 09:30:56	Palkansaaja	En	31-35	Mies	14	Ylioppilas	0							Verkkokauppa.com Oyj	PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	95	Senior Software Engineer	4560	62000	Omat tuotteet sisäänostohintaan, lounasetu, jne. pientä	Ei		
04/09/2023 09:31:31	Palkansaaja	En	31-35	Mies	11	DI	5								Turku	Tuotetalossa, jonka core-bisnes on softa	100	95	Senior software developer	6050	76000		Kyllä		Vuoden odotetuin ja tärkein kysely! Uskon että tästä on konkreettista hyötyä IT alan työntekijöille
04/09/2023 09:32:08	Palkansaaja	En	41-45	mies	26	ylioppilas	6							Wunderdog Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	60	Senior Software Developer	7100	90000	palkka + vuosibonukset + osakkeita	Kyllä		
04/09/2023 09:32:38	Palkansaaja	En	36-40		15	FM	3								Oulu	Konsulttitalossa	100	5	Architect	8650	110000	Palkka+bonus+stonks	Kyllä		
04/09/2023 09:33:51	Palkansaaja	En	41-45	mies	23	Merkonomi	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	10	Team lead, architect, full stack developer	5800	71000	Pienehkö määrä optioita	Ei		
04/09/2023 09:34:07	Palkansaaja	En	36-40	Mies	15		5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	10	Software architect	6600	85000		Kyllä		
04/09/2023 09:34:31	Palkansaaja	En	31-35	M I Ä S	12	Filosofian maisteri (tietojenkäsittelytiede)	31							Compile Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	5	Software Specialist	7200	1500	Asiakastyytyväisyysbonus	Kyllä		
04/09/2023 09:35:36	Palkansaaja	En	26-30	Mies	5	AMK	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	1	DevOps engineer	4400	53000		Ei		
04/09/2023 09:37:09	Palkansaaja	En	31-35	Mies	15	AMK									PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	33	Solutions Architect	9000	130000	Peruspalkka + RSU	Kyllä		
04/09/2023 09:38:56	Palkansaaja	En	36-40	Mies	8	FM	13								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	0	Lead Software Engineer	6900	97000	Peruspalkka + Bonus + Optiot. Optioille en laskenut arvoa vuosituloissa	Kyllä		
04/09/2023 09:40:25	Palkansaaja	En	41-45	Mies	25	Insinööri	+5								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	15	Tietoturvainsinööri	7000	90000	Aloittaessa optiopaketti, vuosittain bonus	Kyllä		
04/09/2023 09:40:53	Laskuttaja	Kyllä, palkansaajasta laskuttajaksi	31-35	Nainen	7	Alempi korkeakoulututkinto		0	Full stack	80		Itse	Suomesta												
04/09/2023 09:42:34	Palkansaaja	En	21-25	mies	3	ylioppilastutkinto	30							Vincit	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	80		6500	80000		Kyllä		
04/09/2023 09:44:00	Palkansaaja	En	26-30	Mies	2	DI:tä vastaava ulkomailta	4.175								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	90	Automation Engineer	4167.7	51012.4		En tiedä		Kiitos!
04/09/2023 09:44:02	Palkansaaja	En	31-35	Mies	12	Tietojenkäsittelytieteen maisteri	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	50	Senior Backend Developer	8000	100000	Provisio 50% laskutuksesta	Kyllä		
04/09/2023 09:44:04	Palkansaaja	En	46-50	Mies	26	Peruskoulu 	14							NorthCode LTD	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	2	QA / Devops engineer	6500	85000	Kiinteä kk palkka plus bonukset 	Kyllä		
04/09/2023 09:44:11	Laskuttaja	En	41-45	mies	20	DI	-5	6.5	full stack softadevaus	97	150000	Käytän välitysfirmoja	Suomesta												
04/09/2023 09:46:12	Palkansaaja	En	26-30	Mies	4	Tietojenkäsittelyn tradenomi	12							Vincit Oyj	Tampere	Konsulttitalossa	100	50	Scrum master / Full-stack developer	4700	58750	Yrityksen tulokseen perustuva bonus	Kyllä		
04/09/2023 09:46:14	Palkansaaja	En	41-45	nainen	1.5	2 x korkeakoulututkinto, ammatillinen osatutkinto	60								työpaikka hajautettu	Tuotetalossa, jonka core-bisnes on softa	98.7	3	Web developer	2700			Ei		
04/09/2023 09:46:34	Laskuttaja	En	21-25	Mies	7	Datanomi	18	3	Full stack	75	150000	Itse	Suomesta, Ulkomailta												
04/09/2023 09:46:49	Palkansaaja	En	36-40	mies	12	diplomi-insinööri	3								Tampere	Tuotetalossa, jonka core-bisnes on softa	100	1	Cloud software developer	5018	63000		Kyllä		
04/09/2023 09:48:54	Laskuttaja	En	46-50	mies	22	ylioppilas	+2	2	backend, pipeline, integration, application, 3d rendering, CAD/DCC	92	150000	Itse	Suomesta, Ulkomailta												
04/09/2023 09:49:31	Palkansaaja	En	21-25	Mies	3	Kandidaatti	36								Lontoo	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	90	Software Engineer	12000	300000	Vuodessa kerran maksettava bonus joka pohjautuu firman ja yksilön performanssin on iso osa kokonaiskompensaatiota	Maksaa paremmin kuin moni muu, mutta osa kilpailijoista maksaa vielä enemmän		
04/09/2023 09:50:08	Palkansaaja	Kyllä, laskuttajasta palkansaajaksi	26-30	Mies	10	AMK	15								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	60	DevOps Engineer	5700	72 000	Rahulia ja osinkoa	Kyllä	Pelihommia	
04/09/2023 09:52:00	Palkansaaja	En	21-25	Mies	2	Tekniikan ylioppilas 	+25								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	15	90	Full stack developer	1240			Kyllä		
04/09/2023 09:52:01	Palkansaaja	En	36-40	Mies	9	TkK	-18								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	3	Senior Software Engineer	6000	75000		Kyllä		
04/09/2023 09:52:11	Palkansaaja	En	36-40	Mies	13	AMK-insinööri	7									Tuotetalossa, jonka core-bisnes on softa	100	8	CxO	9100	131000	kuukausipalkka+osakkeet+bonus	Kyllä		
04/09/2023 09:53:15	Palkansaaja	En	15-20	Mies	5										PK-Seutu (Helsinki, Espoo, Vantaa)		100	10	Software Engineering Consultant, Web	6800	81600	Provisio laskutuksesta	Kyllä		
04/09/2023 09:53:40	Palkansaaja	En	41-45	Mies	18	Insinööri Amk.	3								Turku	Konsulttitalossa	100	95	Konsultti, PDM/PLM järjestelmät	5269	65000	Kiinteän palkan lisäksi lomararaha, sekä firman bonus, jota tänä vuonna(kaan) ei saatu yhtään	Kyllä		
04/09/2023 09:55:54	Palkansaaja	En	21-25	Mies	6	Lukio	2.8							Gofore	Tampere	Konsulttitalossa	100	1	Frontend developer	3960	49500		Ei		
04/09/2023 09:56:18	Palkansaaja	En	36-40	mies	16	diplomi-insinööri	7.3								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	40	Full stack developer	6727	94000		Kyllä		
04/09/2023 09:56:50	Palkansaaja	En	31-35	mies	13	Ylempi korkeakoulututkinto	0							Compile Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	0	Software Architect	10000	125000	Provisio laskutuksesta, asiakastyytyväisyys-bonus, rekry-/liidi-palkkiot	Kyllä		
04/09/2023 09:57:08	Palkansaaja	En	31-35	Mies	5	AMK	-5.3							Gofore	Tampere	Konsulttitalossa	100	20	Scrum Master / Full-stack kehittäjä	4357	52284		Ei		
04/09/2023 09:57:09	Palkansaaja	En	41-45	Mies	20	Tietojenkäsittelytiede, FM	105								PK-Seutu (Helsinki, Espoo, Vantaa)	Service provider	106	5	Solutions Architect	9700	135000	palkka, bonus ja osakkeet	Kyllä		
04/09/2023 09:58:02	Palkansaaja	En	31-35	Mies	8	Filosofian maisteri (tietojenkäsittely)	5							Vincit	Tampere	Konsulttitalossa	100	20	Fullstack developer (mostly frontend)	4200	56000	Palkka + vaihteleva bonus (n. 250-600 e/kk)	EOS		
04/09/2023 09:58:06	Palkansaaja	En	41-45	mies	5	Liiketalouden tradenomi	8								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	5	Software Engineer	4566		kuukausipalkka + optiopaketti	Kyllä		
04/09/2023 09:59:54	Laskuttaja	En	36-40	Mies	12	Tekniikan yo	2	3	Full stack devausta	76	50000	Itse, Käytän välitysfirmoja	Suomesta											Isyysvapaalla ison osan vuodesta	
04/09/2023 10:00:22	Palkansaaja	En	31-35	Mies	9	tietotekniikan DI	8.33							Mapbox	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	37.5	10	Senior software development engineer	10833	135500€/vuosi sisältäen lomarahat + optioita + veroton liikunta/kulttuurietuus	4 vuoden optiopaketti, 1 vuoden cliff ja vestaantuu kuukausittain. Nykyarvolla mitattuna 200-400€/kk, mutta ihan yltiöoptimistisessa tilanteessa vuositulot tuplaantuisi. Todellisuus varmaan jossain siinä välissä. 	Kyllä		
04/09/2023 10:00:38	Palkansaaja	En	31-35	Mies	6	Maisteri, TKT	4.5							Crowd Collective	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	90	Senior Consultant	5435			Kyllä		
04/09/2023 10:01:09	Palkansaaja	En	26-30	Mies	11	Ammattikoulu, Datanomi	15							Reaktor	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	100	Software developer	6000	80000	Kiinteä kuukausipalkka. Osakeohjelma tarjolla kaikille.	Kyllä		
04/09/2023 10:05:36	Palkansaaja	En	31-35	Mies	10	Tekniikan kandidaatti	7							Mirantis	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	1	Engineering Manager	9400	117000	Optiot	Kyllä		
04/09/2023 10:05:38	Palkansaaja	En	41-45	m	14		-4							Pieni tuotetalo	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	15	Senior software developer	6500	85000	Firman tulokseen perustuva bonusmalli. Bonus 0-20%.	Kyllä		
04/09/2023 10:09:32	Palkansaaja	En	46-50	M	22	FM	7							Gofore	Tampere	Konsulttitalossa	100	20	Ohjelmistokehittäjä	5234	66000		Kyllä		
04/09/2023 10:10:17	Laskuttaja	Kyllä, palkansaajasta laskuttajaksi	36-40	Uros	11	Tietotekniikan DI		1	Full stack devaus	74	120000	Käytän välitysfirmoja	Suomesta											1. Vuosi yrittäjänä menossa, arvio koko vuoden laskutuksesta	
04/09/2023 10:11:38	Palkansaaja	En	26-30	Mies	4	AMK-insinööri	3							-	Kuopio	Tuotetalossa, jonka core-bisnes on softa	100	60	Cloud Infrastructure Developer	5000	10000		Kyllä		
04/09/2023 10:13:22	Palkansaaja	En	36-40	Mies	12	LuK, Tkt	21								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	5	Backend Engineer	6600	102500	RSU:t	Kyllä		
04/09/2023 10:13:28	Palkansaaja	En	31-35		6	kandidaatti	15								Tampere	Konsulttitalossa	100	0	Full stack developer	5600	72000	Palkka sidottu laskutukseen suht korkealla takuupalkalla	Kyllä		
04/09/2023 10:15:44	Palkansaaja	En	31-35	mies	10	DI - Tietotekniikka	8.33								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	40	Full-stack	6500	81500	Osakeoptio-ohjelma	Kyllä		
04/09/2023 10:17:11	Palkansaaja	En	36-40	mies	12	ylioppilas									Turku	Konsulttitalossa	100	0	Fullstack developer	5900	105000	kk-palkka + osingot	Kyllä		
04/09/2023 10:17:21	Laskuttaja	En	31-35	Mies	10	DI	0	2	Full stack + arkkitehti	90	75000	Käytän välitysfirmoja	Suomesta												
04/09/2023 10:17:42	Palkansaaja	En	31-35	Mies	10	Tradenomi	6.25							Wunderdog Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Senior Full-stack Developer	5950	76000		Kyllä		
04/09/2023 10:20:08	Palkansaaja	En	36-40	Mies	7	Tietotekniikan perustutkinto	3								Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	0	Senior Frontend Engineer		6489		Kyllä		
04/09/2023 10:20:34	Palkansaaja	En	26-30	Mies	5	AMK	5								Jyväskylä	Tuotetalossa, jonka core-bisnes on softa	100	5	Cloud Specialist	5200	65000		Kyllä		
04/09/2023 10:21:17	Palkansaaja	En	21-25	Mies	3	Lukio	32								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	0	software engineer	4650	60000	lounarit yms	Kyllä		
04/09/2023 10:21:36	Palkansaaja	En	41-45	Mies	20	Filosofian Maisteri	5								Tampere	Tuotetalossa, jonka core-bisnes on softa	100	10	Software Architect	7000	100000	palkka + bonuksia + osakkeita	Kyllä		
04/09/2023 10:21:56	Palkansaaja	En	31-35	Kyllä, kiitos	5	AMK	180								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	1	Senior consultant	8500	110000	-	Kyllä		
04/09/2023 10:22:41	Palkansaaja	En	41-45		2	Yliopisto/maisteri	0							Accenture	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	5	Analyst	3800	48000		yrityksen sisällä ei ole kilpailukykyinen. Samoja tehtäviä tekevät kollegat ansaitsevat enemmän		
04/09/2023 10:28:34	Palkansaaja	En	41-45	mies	23	Diplomi-insinööri, tietotekniikka	3.5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	60	Fullstack developer	6654	87000		Kyllä		
04/09/2023 10:31:56	Laskuttaja	En	41-45	mies	20	DI	0	7	Data & AI	110	150000	Itse, Käytän välitysfirmoja	Suomesta												
04/09/2023 10:32:49	Palkansaaja	En	36-40	Mies	7	Ylempi korkeakoulututkinto (ei IT)	3.5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	75	Data-konsultti/engineer/arkkitehti	5900	73000	Osakkuus	Kyllä		
04/09/2023 10:33:02	Laskuttaja	En	31-35		10	DI		5	Project Lead	130	200000	Itse	Suomesta, Ulkomailta												
04/09/2023 10:35:49	Laskuttaja	En	31-35	Mies	15	ammattikoulu		7	Projektinhallinta, rekrykonsultointi	160	200000	Itse	Suomesta, Ulkomailta												
04/09/2023 10:35:58	Palkansaaja	En	36-40	Mies	8		9.6							Mehiläinen	Tampere	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	10	Senior frontend developer	5700	68400	Kompensaatio vain palkkaa, ei tule lomarahoja	Ei		
04/09/2023 10:38:53	Laskuttaja	En	36-40	Mies	12	Tradenomi	0	2	Full-stack development, Arkkitehtuuri	88	152000	Käytän välitysfirmoja	Suomesta												
04/09/2023 10:40:11	Palkansaaja	En	46-50	Mies	25		4								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	30		8000	135000	Tulospalkkio	Kyllä		
04/09/2023 10:41:03	Palkansaaja	En	31-35	Nainen	8	Kauppatieteen maisteri	10								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Sales director	5000	10000	Peruspalkka, jonka päälle tulee osakkuuden mukainen osuus osinkoina	Kyllä		
04/09/2023 10:41:20	Palkansaaja	En	36-40	Mies	15	diplomi-insinööri	+4								Oulu	Tuotetalossa, jonka core-bisnes on softa	100	0	Backend developer	4500	56250	Palkka, bonus, osakkeet	Ei		Yrityksen koko olisi kiinnostava tieto myös
04/09/2023 10:41:41	Laskuttaja	En	46-50	Mies	15	KTM		15	Full stack	88	150000	Käytän välitysfirmoja	Suomesta												
04/09/2023 10:44:31	Laskuttaja	Kyllä, palkansaajasta laskuttajaksi	26-30	Mies	3	KTM		0.2	Data science, data engineering	95		Käytän välitysfirmoja	Suomesta												
04/09/2023 10:44:37	Palkansaaja	En	36-40	Mies	13		5								Tampere	Tuotetalossa, jonka core-bisnes on softa	100	10	Full-stack developer	6300	79000		Kyllä		
04/09/2023 10:46:27	Palkansaaja	En	36-40	mies	10	Software Engineer	1000								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	60	Director of Software Engineering	7000	94500		Kyllä		
04/09/2023 10:47:26	Laskuttaja	En	31-35	Mies	8	AMK kulttuurialalta	23	1.5	Devausta, full stack mutta fokus bäkkärissä.	104	120000	Itse, Käytän välitysfirmoja	Suomesta											Minulla on useampi firma jota laskutan tällä hetkellä. Uudemmissa korkeampi hinta kuin vanhassa projektissa joka loppuu tämän syksyn aikana.	
04/09/2023 10:50:47	Palkansaaja	En	41-45	mies	23	korkeakoulu	0								PK-Seutu (Helsinki, Espoo, Vantaa)		100	25	Järjestelmäarkkitehti	6600	85000		Kyllä		
04/09/2023 10:51:05	Palkansaaja	En	36-40	Mies	15	Maisteri	5								Piilaakso	Tuotetalossa, jonka core-bisnes on softa	90	0	Tutkimuspäällikkö	11000	145000	pohjapalkka + vuosibonus + optiot + rsu:t + yksityinen eläkevakuutus	Kompensaatio kilpailijoihin kilpailukykyinen, mutta inflaatiotarkistuksia ei ole vielä implementoitu täysimääräisesti. Myös firman sisällä eurooppalaisen etäduunarin liksa on halvemmasta päästä.		
04/09/2023 10:51:19	Palkansaaja	En	36-40	Mies	6	Tietojenkäsittelytieteiden dropout ennen kandia	0								Turku	Konsulttitalossa	100	0	Full-stack web developer	7000	90000	Takuupalkka + laskutusbonus	Kyllä		
04/09/2023 10:55:22	Palkansaaja	En	31-35	Mies	9	DI	1									Tuotetalossa, jonka core-bisnes on softa	100	5	Senior Site Reliability Engineer	8250	103125		Kyllä		
04/09/2023 10:55:27	Palkansaaja	En	31-35	Nainen	1	FM, digitaalinen kielentutkimus									Turku	Konsulttitalossa	100	60	Junior data scientist	2795			Ei		
04/09/2023 10:56:39	Palkansaaja	En	26-30	Mies	7	Datanomi, Tradenomi	16							Houston Inc.	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Senior Consultant (Full stackia, mutta enimmäkseen fronttia)	5800	72500	Palkan lisäksi lounasetu (12,70e) eli n. 266e/kk	Kyllä		
04/09/2023 10:58:56	Palkansaaja	En	26-30	Mies	4	Yliopisto	11								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	90	Data Engineer	5000	65000	Yrityksen tulokseen perustuva bonus, osakeanti, vapaasti valittava kokonaisuus etuja, joista muodostuu reilu pari tonnia per vuosi	Kyllä		
04/09/2023 11:04:03	Palkansaaja	En	41-45	Mies	18	Insinööri (AMK)	-10								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Ohjelmistosuunnittelija	6000	72000	Provisio 50%	Kyllä		
04/09/2023 11:04:36	Palkansaaja	Kyllä, laskuttajasta palkansaajaksi	41-45	Mies	23	diplomi-insinöööri									PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	90	AI engineer	7800	120000	optiot	Kyllä		
04/09/2023 11:05:21	Palkansaaja	En	31-35	Mies	11.5	AMK	4								PK-Seutu (Helsinki, Espoo, Vantaa)	Digitoimisto	100	15	Lead developer	4900	1000	Tulos bonus yrityksen tasolla	En ole varma, luulen että voisin saada samassa roolissa enemmän muualla		
04/09/2023 11:06:34	Palkansaaja	Kyllä, laskuttajasta palkansaajaksi	46-50	Miäs	30	DI	200								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	90	Principal Developer	7500	95000		Ei		
04/09/2023 11:08:45	Palkansaaja	En	36-40	Mies	15	Lukio	4.7								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	0	Ohjelmistokehittäjä	5400	64800		Ei		
04/09/2023 11:13:55	Palkansaaja	En	41-45	mies	20	pidempi korkeakoulututkinto, tohtorikoulutus jäänyt kesken	3							Mozilla	San Francisco	Tuotetalossa, jonka core-bisnes on softa	100	2	Staff Software Engineer	8487	142000	omaan ja firman tulokseen perustuva rahabonus	Kyllä verrattuna Suomen markkinoille, ei verrattuna kansainvälisesti		
04/09/2023 11:17:24	Palkansaaja	En	31-35	Mies	8	FM	10									Tuotetalossa, jonka core-bisnes on softa	100	100	Software Engineer	11000	270000	Palkka, RSU:t ja bonukset.	Kyllä		
04/09/2023 11:20:28	Palkansaaja	En	31-35		15		3							RELEX		Tuotetalossa, jonka core-bisnes on softa	100	0		7000	84000	Kuukausipalkka	Kyllä		
04/09/2023 11:21:06	Palkansaaja	En	36-40	Mies	20	Ylioppilas	15								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	40	Principal Engineer	7900	115000		Kyllä		
04/09/2023 11:23:59	Palkansaaja	En	26-30	Mies	6	Datanomi, AMK-dropout	11								Turku	Tuotetalossa, jonka core-bisnes on softa	100	90	Fullstack developer	4950	59400		Kyllä		
04/09/2023 11:24:49	Laskuttaja	Kyllä, palkansaajasta laskuttajaksi	41-45	Mies	17	DI		0	Backend, frontend, mobiili	76		Käytän välitysfirmoja	Suomesta												
04/09/2023 11:29:34	Laskuttaja	En	46-50		28	lukio	0	26	sw dev, arkkitehtuuri, konsultointi, kaikkea		120000	Itse	Suomesta, Ulkomailta												
04/09/2023 11:34:23	Palkansaaja	En	41-45	Mies	20	Tekniikan yo	3							Wolt	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	10	Engineering team lead	8300	180000	Palkka + kerran kvartaalissa vestautuvat RSU:t	Kyllä		
04/09/2023 11:36:57	Laskuttaja	En	26-30	Mies	8	Kandi/tietojenkäsittelytieteet	0	1	Full-stack, koodaava scrummari	65	100000	Itse, Käytän välitysfirmoja	Suomesta												
04/09/2023 11:41:58	Palkansaaja	En	46-50	Mies	25	DI	0								Vaasa	Tuotetalossa, jonka core-bisnes on softa	100	90	Yrittäjä & full stack devaaja	4000	50000	Yrittäjä eli valmiiksi iso osuus yrityksestä.	Ei		Laskuttaja ja työntekijä vaihtoehdot ei soveltunut koodaavalle softayrittäjälle.
04/09/2023 11:44:59	Palkansaaja	En	26-30	Mies	6	Insinööri (ICT)	10								Jyväskylä	Konsulttitalossa	100	5	Full-stack web / cloud infra / devops Senior SW Developer	4800	60000		Kyllä		
