Timestamp	Oletko palkansaaja vai laskuttaja?	Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2023 jälkeen?	Ikä	Sukupuoli	Työkokemus alalta (vuosina)	Koulutustaustasi	Tulojen muutos viime vuodesta (%)	Montako vuotta olet tehnyt laskuttavaa työtä alalla?	Mitä palveluja tarjoat?	Tuntilaskutus (ALV 0%, euroina)	Vuosilaskutus (ALV 0%, euroina)	Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?	Mistä asiakkaat ovat?	Työpaikka	Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?	Millaisessa yrityksessä työskentelet?	Työaika	Kuinka suuren osan ajasta teet lähityönä toimistolla?	Rooli / titteli	Kuukausipalkka (brutto, euroina)	Vuositulot (sis. bonukset, osingot yms, euroina)	Vapaa kuvaus kokonaiskompensaatiomallista	Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?	Vapaa sana	Palautetta kyselystä ja ideoita ensi vuoden kyselyyn
07/10/2024 10:15:48	Palkansaaja	En	26-30	Mies	8	AMK insinööri	2								Jyväskylä	Tuotetalossa, jonka core-bisnes on softa	80	80	Mobile development with React Native, Web frontend with React	4529.6	55000	Lisäksi (tod näk arvottomia) optioita	Kyllä		Harmaa seuraava-nappi näyttää disabloidulta 😁 
07/10/2024 10:16:19	Palkansaaja	En	36-40	Mies	11	Ylioppilas	0							Compile Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	0	Software Architect	7600	97000	Provisiopalkkaus	Kyllä		
07/10/2024 10:16:37	Palkansaaja	En	26-30	Mies	6	Luonnontieteiden kandidaatti, tietojenkäsittelytiede (tietotekniikka)	4.39							Gofore	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	90	Lead Developer	4193	52412		Ei		
07/10/2024 10:18:16	Palkansaaja	En	41-45	Mies	19	Ammattikorkeakoulu	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Full stack developer	7250	91000	Provisio ja laskutusbonus	Kyllä		
07/10/2024 10:18:53	Laskuttaja	Kyllä, palkansaajasta laskuttajaksi	41-45	mies	22	FM		1	arkkitehtuuri, full stack	100	180000	Itse, Käytän välitysfirmoja	Suomesta, Ulkomailta												
07/10/2024 10:19:26	Palkansaaja	En	31-35	Mies	15	AMK Insinööri	0							-	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	0	Tunkkaaja	8000	96000	Ilmaista kahvia saa toimistolta + jumppa	Kyllä		
07/10/2024 10:19:37	Palkansaaja	En	31-35	mies	8	TKT Maisteri	0							Mavericks	Turku	Konsulttitalossa	100	0	Lead developer - fullstack	7200	88000		Kyllä		
07/10/2024 10:22:34	Palkansaaja	En	31-35	Mies	3	Tieto- ja viestintätekniikan insinööri	3							Huld Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Mobile developer	3855			Ei	Penkki pelottaa	
07/10/2024 10:24:50	Palkansaaja	En	26-30	mies	3	tietojenkäsittelytieteen kandidaatti	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	0	Software Engineer	5500	70000		Kyllä		
07/10/2024 10:27:19	Palkansaaja	En	31-35	Mies	14	AMK	2							Tilastokeskus	PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	97	20	Software Engineer Devops painotuksella	4480	56000	Lomaraha	Ei		
07/10/2024 10:27:53	Palkansaaja	En	31-35	Mies	13	Diplomi-insinööri, tuotantotalous	4								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	60	Technical Product Manager	6300	4000		Kyllä		
07/10/2024 10:29:01	Palkansaaja	En	36-40	Mies	15	Diplomi-insinööri	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	10	Cloud architect	6500	7000		Kyllä		
07/10/2024 10:29:30	Palkansaaja	En	31-35	Mies	11	Diplomi-insinööri	0							Crowd Collective	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Full stack developer	6570	82125	Kiinteä kuukausipalkka	Kyllä		
07/10/2024 10:30:59	Palkansaaja	En	26-30	Mies	7	Tietotekniikan dippa-inssi Aallosta	8.4								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	80	20	Software Developer	4400	57200	Kiinteä palkka + kiinteäksi konvertoitu bonus	Kyllä		
07/10/2024 10:31:48	Palkansaaja	En	36-40	Mies	11	Kandi	6							Mirantis	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	1	Engineering Manager	10000	125000	Kuukausipalkka + optiot.	Kyllä		
07/10/2024 10:32:09	Palkansaaja	En	36-40	mies	15	Insinööri (AMK)	7.5							UpCloud	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	0.1	IaaS R&D architect	9411			Kyllä		
07/10/2024 10:33:26	Palkansaaja	En	31-35	Nainen	6	Tradenomi AMK	0								Tampere	Konsulttitalossa	100	5	Dynamics Senior Consultant	5200	62000		Kyllä		
07/10/2024 10:39:35	Palkansaaja	En	41-45	Mies	20	Ylempi korkeakoulututkinto, Tietojenkäsittelytiede	0								Oulu	Tuotetalossa, jonka core-bisnes on softa	100	0	Solutions Architect	9700		150000	Kyllä		
07/10/2024 10:45:42	Palkansaaja	En	41-45	MIES	20	luonnontieteiden kandidaatti	0								Tampere	Konsulttitalossa	100	10	Senior software engineer, fullstack-kehittäjä (Angular/Java)	8400	110000	50% laskutuksesta	Kyllä		
07/10/2024 10:45:51	Palkansaaja	En	31-35	Mies	10	Tohtori	10								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	10	Lead AI Engineer	8000	104000	Osakeosto-oikeus nimellishinnalla	Kyllä		
07/10/2024 10:49:35	Palkansaaja	Kyllä, laskuttajasta palkansaajaksi	26-30	mies	5.75	tietojenkäsittelytieteen kandidaatti	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	100	Full stack software developer	5460	73000		Ei		
07/10/2024 10:52:14	Laskuttaja	En	31-35	äiä	10	AMK ei-IT alalta	10	2.5	backend, devops, yleisempää käsienheiluttelua ja speksaushommaa	98	140000	Itse, Käytän välitysfirmoja	Suomesta												
07/10/2024 10:52:42	Palkansaaja	En	36-40	nainen	7	filosofian ylioppilas	0								Turku	Konsulttitalossa	100	80	Johtaja	5800	500		Ei		
07/10/2024 10:53:35	Palkansaaja	En	31-35	Mies	9	FM	2							Vincit	Tampere	Konsulttitalossa	100	0	Fullstack developer w/ frontend focus (eli react-koodari)	4700	62400	Peruspalkka + bonus firman tuloksen mukaan	Ei		
07/10/2024 10:54:13	Palkansaaja	En	15-20	Mies	3	TKT kandi	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	0	Software Engineer	4050	70000	Osakkeita	Kyllä		
07/10/2024 10:56:25	Palkansaaja	En	41-45	mies	21	DI	7							61N	Tampere	Konsulttitalossa	100	100	Senior Software Engineer	5930	71800		Kyllä		
07/10/2024 10:57:28	Palkansaaja	En	36-40	nainen	15	Diplomi-insinööri, tietotekniikka	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	40	Fullstack developer (angular web, flutter mobile, nodejs backend)	6500	78000	perus optio-ohjelma, mutta alkuvaiheen startupissa en laskisi sitä tuloksi :D 	Kyllä		
07/10/2024 10:57:38	Palkansaaja	En	31-35	Mies	4	Lukio	29								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	1	Tech Lead	6070	76000		Kyllä		
07/10/2024 10:58:24	Palkansaaja	En	36-40	Mies	15	AMK	0										100	0	Manager	6000	75000		Kyllä		
07/10/2024 10:58:31	Palkansaaja	En	26-30	Mies	10	Mediaassistentti	7.14								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	5	Senior Developer, complex solutions & integrations	4500	56000		Kyllä		
07/10/2024 10:59:51	Palkansaaja	En	26-30	Mies	5	DI	32							Vincit	Tampere	Konsulttitalossa	100	5	Cloud Developer	5600	71000		Kyllä		
07/10/2024 11:10:37	Palkansaaja	En	26-30	Mies	6	DI, Ohjelmistotekniikka, Turun yliopisto	-14.5							Arado	Turku	Konsulttitalossa	100	50	Full-stack Developer	6300	78750	Bruttopalkka on joko 50% laskutuksesta tai 4000€	Kyllä		
07/10/2024 11:11:20	Palkansaaja	En	36-40		10	Kauppatieteiden maisteri 	2.5								PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100	95	Tietoturva-asiantuntija	5700	71800		Kyllä		
07/10/2024 11:12:48	Palkansaaja	En	26-30	Mies	4	AMK	14								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	0	Software Developer	5700	72000	Bonukset kerran vuoteen	Kyllä		
07/10/2024 11:16:06	Palkansaaja	En	46-50	Mies	20	Diplomi-insinööri, tietoliikennetekniikka	8							Kone	PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	10	Senior Cloud Engineer	6830	100000	autoetu, isohko vuotuinen bonus	Kyllä		
07/10/2024 11:18:44	Palkansaaja	En	31-35	Mies	10	Datanomi	9.5							Vincit	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	10	Full stack developer	4970	62250		Ei		
07/10/2024 11:31:41	Palkansaaja	En	31-35	mies	10	AMK	4							Polar Squad Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	10	DevOps Consultant	6000	75000	Kiinteä kuukausipalkka, epäsäännöllinen mahdollisuus osakkeisiin	Kyllä		
07/10/2024 11:33:59	Palkansaaja	En	26-30	Mies	5	Tietojenkäsittelytieteen maisteri	0								Tampere	Konsulttitalossa	100	0	Full stack developer	4700			Kyllä		
07/10/2024 11:37:47	Palkansaaja	En	36-40	mies	7		2.5								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	30	Full stack software engineer	6365	79500		Kyllä	Minulla on luultavasti tällä hetkellä poikkeuksellisen hyvä job fit, eikä esim. Suomesta luultavasti löydy juuri ketään minua paremmin tähän työnkuvaan sopivaa henkilöä.	Olisin laittanut kuukausipalkka kysymyksen ennen kysymystä palkan muutoksesta, se olisi tuntunut loogisemmalta.
07/10/2024 11:46:42	Palkansaaja	En	31-35	Mies	2	IT-tradenomi	20								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	5	Software Developer	3800	48000		Ei		
07/10/2024 11:48:12	Palkansaaja	En	26-30	mies	7	ammattikoulu	13								Turku	Tuotetalossa, jonka core-bisnes on softa	100	95	software developer	5300	63600		Kyllä		
07/10/2024 11:49:26	Palkansaaja	En	36-40	mies	13	Tietotekniikan diplomi-insinööri	1								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Senior Fullstack Consultant	6260	80000		Kyllä		
07/10/2024 11:50:58	Palkansaaja	En	41-45	Mies	24	DI	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100		2	2	7000		Kyllä		
07/10/2024 11:51:00	Palkansaaja	En	46-50	Mies	26	Tradenomi									Tampere	Konsulttitalossa	100	30	Pilviarkkitehti	7400	93000		Kyllä		
07/10/2024 11:53:07	Palkansaaja	En	36-40	Mies	4	Lukio	0								Turku	Konsulttitalossa	100	95	UX Designer	4200	50400		Ei		
07/10/2024 11:57:35	Palkansaaja	En	26-30	Mies	9	Msc	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	40	Software Engineer	5800	70000		Kyllä		
07/10/2024 12:04:19	Palkansaaja	En	26-30	Mies	2.8	Ylempi korkeakoulututkinto	1.4							Solita	Turku	Konsulttitalossa	100	20	Software Designer	3751	47000		Ei		
07/10/2024 12:10:17	Palkansaaja	En	26-30	mies	2	luonnontieteiden kandidaatti	2								PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	50	50	Full stack developer	2405			Ei		
07/10/2024 12:11:09	Palkansaaja	En	41-45		6	TKT kandi	1								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	40	scrum master	4770	60000		Ei		
07/10/2024 12:16:33	Laskuttaja	En	36-40	mies	14	FM, tietojenkäsittelytiede	0	10	mobiili	85	140000	Itse, Käytän välitysfirmoja	Suomesta, Ulkomailta												
07/10/2024 12:16:55	Palkansaaja	En	36-40	Mies	13	IT-Tradenomi									PK-Seutu (Helsinki, Espoo, Vantaa)	Digitoimisto	100	10	Lead Developer	4950			Ei		
07/10/2024 12:18:11	Palkansaaja	En	41-45	Mies	14	Maisteri	3								Tampere	Konsulttitalossa	100	0	Backend developer	7800	100000		Kyllä		
07/10/2024 12:18:22	Laskuttaja	En	26-30	Mies	8	Diplomi-insinööri	0	4	Full stack	107	150000		Suomesta												
07/10/2024 12:23:04	Palkansaaja	En	26-30	Mies	4	Insinööri (AMK)	3								Hyvinkää	Teollisuus	100	10	Lead Engineer, Data analytics	4700	54000		Ei		
07/10/2024 12:23:16	Palkansaaja	En	26-30	Mies	5	Yliopisto	10								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	75	Data Engineer	5500	69000	Yrityksen tulokseen perustuva bonus, osakeanti, vapaasti valittava kokonaisuus erilaisia etuja	Kyllä		
07/10/2024 12:23:30	Laskuttaja	Kyllä, palkansaajasta laskuttajaksi	41-45	Mies	13	peruskoulu	0	1	full stack	500		Itse	Ulkomailta												
07/10/2024 12:32:16	Palkansaaja	En	31-35	äiä	12	AMK	0							Metacore Games	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	15	Platform Engineer	5700	90000	optiot per kk, stonks bonuksena	Varmaan sais muualla enemmän palakkaa, mutta stonksit ihan jees.		
07/10/2024 12:33:43	Palkansaaja	En	36-40	Mies	15		-5								Tampere	Konsulttitalossa	100	0	Backend developer	5000	62500		Ei		
07/10/2024 12:37:34	Palkansaaja	En	26-30	mies	9	tietotekniikan DI	5							Yleisradio	PK-Seutu (Helsinki, Espoo, Vantaa)	Julkinen tai kolmas sektori	100	35	Developer	5428	69000		Kyllä		
07/10/2024 12:39:25	Palkansaaja	En	36-40		9	FM	8									Tuotetalossa, jonka core-bisnes on softa	100	0	Lead Engineer	7200	101600	Kuukausipalkka + Bonus	Kyllä		
07/10/2024 12:40:27	Palkansaaja	En	31-35		11		3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	50	Senior UX/Product Designer	5450	68125	Kuukausipalkka + bonus ja osingot voitollisena vuonna	Samanlaisiin konsulttitaloihin verrattuna about sama, tuotetalossa saisin enemmän		
07/10/2024 12:40:44	Palkansaaja	En	36-40	mies	7	amk-insinööri	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	0	fullstack	5500	68750		Kyllä		
07/10/2024 12:41:07	Palkansaaja	En	31-35	Mies	8	Amis + keskeytetty AMK	37							Tietoevry	Turku		100	10	Senior Azure Engineer	6300	78750		Kyllä		Hyvä setti kyssäreitä!
07/10/2024 12:55:53	Laskuttaja	En	41-45	mies	23	DI	5	2	Full stack developer	85	160000	Itse	Ulkomailta												Laskutustavan voisi kysyä. Itse laskutan kiinteää kuukausihintaa
07/10/2024 12:57:21	Palkansaaja	En	36-40	Nainen	14	Datanomi	14								Tampere	Konsulttitalossa	100	20		5900	70800		Kyllä		
07/10/2024 13:14:16	Palkansaaja	En	31-35	Mies	15	Insinööri-AMK	3								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	Azure architect	7200	100000		Kyllä		
07/10/2024 13:15:57	Palkansaaja	En	31-35	Mies	15	Ylioppilas	20							Fennoa Oy	Etätyöfirma	Tuotetalossa, jonka core-bisnes on softa	100	0	Senior Software Engineer	5500	72	Kiinteä palkka, firman tulokseen sidotut bonarit	Kyllä		
07/10/2024 13:21:47	Laskuttaja	En	36-40		17	Tradenomi	0	6	Full stack	85	150000	Itse, Käytän välitysfirmoja	Suomesta, Ulkomailta												
07/10/2024 13:27:37	Palkansaaja	En	31-35	Mies	7	Ylempi korkeakoulututkinto	1							Gofore	Jyväskylä	Konsulttitalossa	100	100	Embedded software developer	4800	60600	Vuosibonus	Kyllä		
07/10/2024 13:36:01	Laskuttaja	En	46-50	Miesoletettu	25		2	11	Product owner, Solution analyst	84		Käytän välitysfirmoja	Suomesta												Hinnat saattavat vaihdella asiakassektoreittain, joten niiden erottwleminen voisi olla aiherllista.
07/10/2024 13:38:34	Palkansaaja		31-35	Mies	7	Insinööri (AMK), tietotekniikka	2.5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	5	Senior fullstack developer	5500	71600		Kyllä		
07/10/2024 13:42:59	Palkansaaja	En	31-35	nainen	8	lukio	0							redandblue	PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	3	Web Developer	3900	46800		Kyllä		
07/10/2024 13:43:42	Palkansaaja	En	31-35	Mies	7	AMK Insinööri	13								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	5	Azure Cloud Specialist	4750	57000	Osakeohjelma vuosittain	Kyllä	Riippuu paljon serttei suorittaa, nii saa enempi bonareit	
07/10/2024 13:44:48	Palkansaaja	En	36-40	Mies	14	Ylempi korkeakoulututkinto-	-7							Vincit Oyj	Tampere	Konsulttitalossa	37.5	5	Software Developer	5200			Kyllä		
07/10/2024 13:46:18	Palkansaaja	En	36-40	mies	15	Ammattikorkeakoulu	0								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	95	Data Architect	6753	89500	Osakeomistus + firman yhteinen jaettava bonus	Kyllä		
07/10/2024 13:52:10	Palkansaaja	En	41-45	Mies	3	DI (ei IT), Tietojenkäsittelytieteen opintoja noin 100op	1								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	20	AWS Cloud Engineer	4600	60000	Osakkeita	Kyllä		
07/10/2024 13:54:24	Palkansaaja	En	31-35	Mies	10	Insinööri (AMK)	5								PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	100	Senior software developer	5800	69600		Kyllä		
07/10/2024 14:09:14	Palkansaaja	En	41-45	mies	25	pidempi korkeakoulututkinto, tohtorikoulutus jäänyt kesken	6							Mozilla	San Francisco	Tuotetalossa, jonka core-bisnes on softa	100	0	Staff Software Engineer	8750	150000	omaan ja firman tulokseen perustuva rahabonus	Kyllä verrattuna Suomen markkinoille, ei verrattuna kansainvälisesti		
07/10/2024 14:10:00	Palkansaaja	En	31-35			DI	38								PK-Seutu (Helsinki, Espoo, Vantaa)	Tuotetalossa, jonka core-bisnes on softa	100	90		6200	100000	Peruspalkka + bonus, osakkeet	Kyllä		
07/10/2024 14:11:58	Palkansaaja	En	36-40	mies	15	ylioppilas	5								Tampere	Konsulttitalossa	100	0	Lead Architect	6500	81250		Kyllä		
07/10/2024 14:18:13	Laskuttaja	En	36-40	Mies	18	International Baccalaureate	42	2	Osa-aikainen CTO, pilviarkkitehti, backendahtava generalist	125	111621	Itse, Käytän välitysfirmoja	Suomesta												
07/10/2024 14:19:19	Palkansaaja	En	> 55v	mies	32	korkeampi korkeakoulututkinto	2.3								Tampere	Julkinen tai kolmas sektori	100	10	Backend developer	6142	6142		Kyllä		
07/10/2024 14:24:49	Palkansaaja	En	36-40	Mies	15	Ylempi	-10								PK-Seutu (Helsinki, Espoo, Vantaa)	Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)	100	20	Arkkitehti	6400	85000		Kyllä		
07/10/2024 14:29:53	Palkansaaja	En	46-50	mies	30	DI	2.5								Tampere	Tuotetalossa, jonka core-bisnes on softa	100	10	CxO	7500	94000		Ei		
07/10/2024 14:31:26	Laskuttaja	En	31-35	mies	12	ylioppilas	10	4	full stack, mobiili, devops	150	250000	Itse	Suomesta, Ulkomailta												
07/10/2024 14:41:06	Palkansaaja	En	36-40	Mies	15	Ylempi korkeakoulututkinto	-8							Compile Oy	PK-Seutu (Helsinki, Espoo, Vantaa)	Konsulttitalossa	100	1	Software Architect	9000	115000	Provisio + erilaiset bonukset	Kyllä		
07/10/2024 14:44:28	Palkansaaja	En	36-40	mies	13.5	Automaatiotekniikan diplomi-insinööri	4.5							Elisa Industriq Finland(entinen Leanware)	Tampere	Tuotetalossa, jonka core-bisnes on softa	100	1	Fullstack developer, C#, Angular	5160	64500		Kyllä	Nykyinen työpaikka on kolmas oman alan työpaikka. Nykyisessä paikassa olen ollut viimeiset 9 vuotta. Tämä on saattanut vaikuttaa palkka kehitykseen negatiivisesti.	Voitaisiin kysellä monesko työpaikka nykyinen on ja kauanko on ollut nykyisessä. Tällä tavalla voitaisiin saada dataa miten paljon työpaikan vaihdokset ja palkka "shoppailulla" oikeasti tienaa.
